step,pitch_delta,roll_delta,ctrl_delta_0,ctrl_delta_1,ctrl_delta_2,ctrl_delta_3,ctrl_delta_4,ctrl_delta_5,ctrl_delta_6,ctrl_delta_7,ctrl_delta_8,ctrl_delta_9
0,0.0,0.0,4.435500264167786,0.0,-10.878330707550049,-23.503171920776367,-0.3815927803516388,4.435500383377075,0.0,-10.878330707550049,-23.503171920776367,-0.3815927803516388
1,-0.007366906851530075,0.01668618433177471,-14.632292568683624,1.7620065212249756,-1.2647113800048828,23.327877521514893,4.102567672729492,-13.183409690856934,1.7127293348312378,-3.788694381713867,21.05719757080078,-2.4846890047192574
2,-0.018236253410577774,0.05513496603816748,-9.02643632888794,0.8898990154266357,11.4959716796875,-40.579843521118164,0.0,-14.356360673904419,1.536048412322998,0.0,-60.0,29.95363140106201
3,-0.020450763404369354,0.03456039912998676,-7.912829875946045,-0.653408907353878,-12.222969055175781,36.14510726928711,0.0,-0.37985897064208984,-0.2527921199798584,0.0,60.0,-30.0
4,-0.012100230902433395,0.03755643218755722,8.82160758972168,0.64693683385849,0.0,-58.012224197387695,0.0,16.624801754951477,0.7539766430854797,0.0,-60.0,30.0
5,-0.0119854174554348,0.033643510192632675,-5.848114013671875,-3.2728723287582397,0.0,60.0,0.0,-18.804781198501587,-2.048055589199066,0.0,58.30303955078125,-30.0
6,-0.01678992062807083,0.047412075102329254,3.191059112548828,0.3780216574668884,0.0,-60.0,0.0,18.713411569595337,-1.458433985710144,0.0,-48.140846252441406,30.0
7,-0.021922539919614792,0.04776468127965927,0.3758678436279297,-0.6971297264099121,0.0,60.0,0.0,-22.091365814208984,1.5029404163360596,-2.9887561798095703,53.01773262023926,-30.0
8,-0.037420615553855896,0.07400506362318993,0.0,2.0391144901514053,0.0,-60.0,0.0,22.673718452453613,1.649795413017273,0.0,-47.36734199523926,30.0
9,-0.07350790314376354,0.07793460786342621,0.0,-0.8294196128845215,0.0,60.0,0.0,-23.713380813598633,3.738180994987488,0.0,57.37187957763672,-30.0
