source_step_index,time,step,sim_time_s,contact_force_valid,left_wheel_contact,right_wheel_contact,left_wheel_floor_contact,right_wheel_floor_contact,left_contact_active,right_contact_active,contact_supervisor_state,contact_previous_state,left_contact_force_world_z,right_contact_force_world_z,non_wheel_floor_contacts,total_wheel_floor_fz,total_contact_force_z,contact_duration_s,contact_transition_event,com_z_m,pitch_x_rad,roll_y_rad,wheel_vel_mean_rad_s,support_position_error_m,hip_yaw_abs_max,tau_saturation_rate,torque_saturation_mask_per_joint,torque_rate_saturation_mask_per_joint,tau_wbc_correction,tau_wbc_norm,hidden_torque_norm,ownership_violation_count
0,0.0,0,0.0,False,True,True,True,True,True,True,double_contact,none,20.508811950683597,22.049598693847656,0,42.55841054498711,42.55841064453125,0.0,initial_double_contact,0.4041118323802948,0.0,0.0,0.0,0.0,0.0,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,True,False,False,False,False,True,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.987911224365234,0.0,0
1,0.01,1,0.01,True,True,True,True,True,True,True,double_contact,double_contact,46.22621536254883,46.88473510742188,0,93.11095157716872,93.11094665527344,0.01,none,0.4041108191013336,0.0003843643107758,2.5593164454837064e-05,-0.0238454065984115,-1.2619399237939756e-05,6.051732998457737e-05,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,True,False,False,False,False,True,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.704520225524902,0.0,0
2,0.02,2,0.02,True,True,True,True,True,True,True,double_contact,double_contact,42.1491813659668,43.1102294921875,0,85.25941061497977,85.25941467285156,0.02,none,0.4039095640182495,0.0005222538147527,0.0001031867019516,1.235780954360962,-0.0002773084928115,0.0001945693802554,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",12.144927978515623,0.0,0
3,0.03,3,0.03,True,True,True,True,True,True,True,double_contact,double_contact,42.70516204833984,43.51123809814453,0,86.21639774490046,86.21640014648438,0.03,none,0.4038352966308594,0.0001835688257455,0.0002044875491984,0.1619727686047554,-0.000701297166448,0.0003405118768569,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",12.046258926391602,0.0,0
4,0.04,4,0.04,True,True,True,True,True,True,True,double_contact,double_contact,43.59031677246094,44.33489990234375,0,87.92521813002091,87.92521667480469,0.04,none,0.4038395583629608,0.0006415894306194,0.0003174822260761,0.2139719724655151,-0.0007996111348305,0.0004851931589655,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.772923469543455,0.0,0
5,0.05,5,0.05,True,True,True,True,True,True,True,double_contact,double_contact,40.89168167114258,41.59923553466797,0,82.49091721909944,82.49092102050781,0.05,none,0.4039369225502014,0.0012186304836348,0.0004305523346626,0.988016277551651,-0.0010448759753665,0.000630717317108,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.575533866882324,0.0,0
6,0.06,6,0.06,True,True,True,True,True,True,True,double_contact,double_contact,39.63106155395508,40.31615447998047,0,79.94721527190946,79.94721984863281,0.06,none,0.4041152000427246,0.0014457747145967,0.0005416049044211,1.0212428271770475,-0.0015260054620828,0.0007722946465946,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.791507720947266,0.0,0
7,0.07,7,0.07,True,True,True,True,True,True,True,double_contact,double_contact,39.88857650756836,40.56589889526367,0,80.45447742623593,80.45447540283203,0.07,none,0.4043197631835937,0.0016611695194984,0.0006491120079601,0.8584977388381958,-0.0019875371290825,0.0009082043543457,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.79779815673828,0.0,0
8,0.08,8,0.08,True,True,True,True,True,True,True,double_contact,double_contact,39.59129333496094,40.27009582519531,0,79.86138574180885,79.86138916015625,0.08,none,0.4045327007770538,0.0019516017363136,0.000751580884537,0.9546530842781068,-0.0024167042819424,0.0010424911743029,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.742634773254396,0.0,0
9,0.09,9,0.09,True,True,True,True,True,True,True,double_contact,double_contact,39.09442138671875,39.77812576293945,0,78.87254944552879,78.87254333496094,0.09,none,0.4047551155090332,0.0021645357587505,0.0008480361496848,1.0161777436733246,-0.0028853387265767,0.0011756710009649,0.0,"False,False,False,False,False,False,False,False,False,False","False,False,False,False,False,False,False,False,False,False","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",11.759987831115724,0.0,0
