row_index,nominal_source_step_index,low_1cm_source_step_index,nominal_time,low_1cm_time,nominal_initial_root_z_perturbation_m,low_1cm_initial_root_z_perturbation_m,nominal_nominal_equilibrium_com_z_m,low_1cm_nominal_equilibrium_com_z_m,nominal_initial_com_z_m_after_perturbation,low_1cm_initial_com_z_m_after_perturbation,nominal_perturbation_applied_after_equilibrium_capture,low_1cm_perturbation_applied_after_equilibrium_capture,nominal_com_z_m,low_1cm_com_z_m,nominal_left_wheel_contact,low_1cm_left_wheel_contact,nominal_right_wheel_contact,low_1cm_right_wheel_contact,nominal_left_wheel_floor_contact,low_1cm_left_wheel_floor_contact,nominal_right_wheel_floor_contact,low_1cm_right_wheel_floor_contact,nominal_contact_force_valid,low_1cm_contact_force_valid,nominal_contact_supervisor_state,low_1cm_contact_supervisor_state,nominal_contact_transition_event,low_1cm_contact_transition_event,nominal_contact_duration_s,low_1cm_contact_duration_s,nominal_left_contact_force_world_z,low_1cm_left_contact_force_world_z,nominal_right_contact_force_world_z,low_1cm_right_contact_force_world_z,nominal_total_wheel_floor_fz,low_1cm_total_wheel_floor_fz,nominal_non_wheel_floor_contacts,low_1cm_non_wheel_floor_contacts,nominal_support_position_error_m,low_1cm_support_position_error_m,nominal_pitch_x_rad,low_1cm_pitch_x_rad,nominal_roll_y_rad,low_1cm_roll_y_rad,nominal_yaw_z_rad,low_1cm_yaw_z_rad,nominal_hip_yaw_abs_max,low_1cm_hip_yaw_abs_max,nominal_joint_pos,low_1cm_joint_pos,nominal_wheel_vel_mean_rad_s,low_1cm_wheel_vel_mean_rad_s,nominal_wheel_vel_left_rad_s,low_1cm_wheel_vel_left_rad_s,nominal_wheel_vel_right_rad_s,low_1cm_wheel_vel_right_rad_s,nominal_tau_position,low_1cm_tau_position,nominal_tau_final_per_joint,low_1cm_tau_final_per_joint,nominal_tau_saturation_rate,low_1cm_tau_saturation_rate,nominal_wheel_torque_saturation_left,low_1cm_wheel_torque_saturation_left,nominal_wheel_torque_saturation_right,low_1cm_wheel_torque_saturation_right,nominal_wheel_torque_rate_saturation_left,low_1cm_wheel_torque_rate_saturation_left,nominal_wheel_torque_rate_saturation_right,low_1cm_wheel_torque_rate_saturation_right,nominal_tau_wbc_correction,low_1cm_tau_wbc_correction,nominal_hidden_torque_norm,low_1cm_hidden_torque_norm,nominal_ownership_violation_count,low_1cm_ownership_violation_count
0,0,0,0.0,0.0,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4041118323802948,0.3941118419170379,True,True,True,True,True,False,True,False,False,False,double_contact,double_contact,initial_double_contact,initial_double_contact,0.0,0.0,20.508811950683597,0.0,22.049598693847656,0.0,42.55841054498711,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0000,0.0000,0.9261,1.7484,0.0000,0.0000,0.0000,0.9261,1.7484,0.0000","0.0000,0.0000,0.9261,1.7484,0.0000,0.0000,0.0000,0.9261,1.7484,0.0000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,2.049999952316284,-4.0,0.0,0.0,0.0,1.5999999046325684,-4.0,0.0","0.0,0.0,2.049999952316284,-4.0,0.0,0.0,0.0,1.5999999046325684,-4.0,0.0",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
1,1,1,0.01,0.01,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4041108191013336,0.3977318704128265,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,double_contact_to_flight_or_no_contact,0.01,0.01,46.22621536254883,0.0,46.88473510742188,0.0,93.11095157716872,0.0,0,0,-1.2619399237939756e-05,-0.0005663944537104,0.0003843643107758,-0.0177191002994546,2.5593164454837064e-05,1.13576751649765e-05,9.468842619432283e-05,8.405831790147187e-05,6.051732998457737e-05,0.00082570099039,"-0.0001,-0.0001,0.9283,1.7514,-0.0007,0.0001,0.0000,0.9281,1.7512,-0.0009","-0.0057,-0.0008,0.9365,1.8043,-0.0294,0.0056,0.0008,0.9361,1.8039,-0.0294",-0.0238454065984115,-2.86676037311554,0.0009947374928742,-2.86724853515625,-0.0486855506896972,-2.866272211074829,0.0005047759623266,0.0226557776331901,"0.05259609967470169,0.02682136744260788,0.7175551652908325,-8.0,1.2689638137817383,-0.0498092845082283,0.009591992013156414,0.39644157886505127,-8.0,1.2938039302825928","0.222579687833786,0.28222185373306274,-1.8037493228912354,-8.0,-4.0,-0.22046372294425964,-0.28087344765663147,-1.9827203750610352,-8.0,-4.0",0.0,0.0,False,False,False,False,False,True,False,True,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
2,2,2,0.02,0.02,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4039095640182495,0.401378870010376,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.02,0.02,42.1491813659668,0.0,43.1102294921875,0.0,85.25941061497977,0.0,0,0,-0.0002773084928115,-0.0033303250339797,0.0005222538147527,-0.0353809917734867,0.0001031867019516,4.954169681091109e-05,0.0003223656476213,0.000255569056444,0.0001945693802554,0.0018095739651471,"-0.0004,-0.0002,0.9305,1.7528,0.0070,0.0003,0.0000,0.9299,1.7524,0.0062","-0.0091,-0.0018,0.9378,1.8299,-0.0863,0.0090,0.0018,0.9366,1.8291,-0.0863",1.235780954360962,-7.567023992538452,1.26848042011261,-7.56728458404541,1.203081488609314,-7.566763401031494,0.0110923396423459,0.133212998509407,"0.09194280207157135,0.047019731253385544,1.2301242351531982,-8.334904670715332,-1.0967693328857422,-0.08640823513269424,0.0008422723039984703,0.9432439804077148,-8.423916816711426,-1.0640699863433838","0.15507179498672485,0.3290180265903473,2.1962506771087646,-12.0,-8.0,-0.15325939655303955,-0.33149048686027527,2.017279624938965,-12.0,-8.0",0.0,0.0,False,False,False,False,False,True,False,True,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
3,3,3,0.03,0.03,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4038352966308594,0.404043585062027,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.03,0.03,42.70516204833984,0.0,43.51123809814453,0.0,86.21639774490046,0.0,0,0,-0.000701297166448,-0.0084892108456163,0.0001835688257455,-0.0498370264298526,0.0002044875491984,9.671393093322904e-05,0.0006105860118802,0.0004575198405962,0.0003405118768569,0.0028712088242173,"-0.0006,-0.0003,0.9315,1.7532,0.0132,0.0003,-0.0000,0.9305,1.7528,0.0117","-0.0105,-0.0029,0.9360,1.8274,-0.2185,0.0104,0.0029,0.9341,1.8263,-0.2185",0.1619727686047554,-16.96111011505127,0.1941661983728408,-16.961191177368164,0.1297793388366699,-16.961029052734375,0.0280518867075443,0.3395684361457824,"0.1000412255525589,0.04952482879161835,1.6949450969696045,-8.065763473510742,-0.025113463401794434,-0.09233921766281128,0.013885322958230972,1.4407998323440552,-8.133915901184082,0.007079958915710449","0.08396188169717789,0.36357489228248596,2.1002025604248047,-8.0,-4.0,-0.08231997489929199,-0.36644986271858215,2.0355021953582764,-8.0,-4.0",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
4,4,4,0.04,0.04,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4038395583629608,0.4057276546955108,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.04,0.04,43.59031677246094,0.0,44.33489990234375,0.0,87.92521813002091,0.0,0,0,-0.0007996111348305,-0.0159624153130119,0.0006415894306194,-0.0593798311581823,0.0003174822260761,0.0001434731029349,0.0009302507634876,0.0006576079521467,0.0004851931589655,0.0037730282638221,"-0.0006,-0.0005,0.9326,1.7533,0.0155,0.0001,-0.0001,0.9312,1.7527,0.0134","-0.0104,-0.0037,0.9373,1.8076,-0.4145,0.0103,0.0038,0.9346,1.8063,-0.4145",0.2139719724655151,-21.34300994873047,0.2441350370645523,-21.343080520629883,0.1838089078664779,-21.34293937683105,0.031984444707632,0.6384966373443604,"0.10226766020059586,0.0501939095556736,1.268729329109192,-7.89906120300293,0.754031240940094,-0.09295075386762619,0.015267470851540565,1.031430721282959,-7.960104465484619,0.78419429063797","0.03618095442652702,0.2857212424278259,0.711513876914978,-4.0,0.0,-0.03525905683636665,-0.2912752628326416,0.6307735443115234,-4.0,0.0",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
5,5,5,0.05,0.05,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4039369225502014,0.4064311981201172,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.05,0.05,40.89168167114258,0.0,41.59923553466797,0.0,82.49091721909944,0.0,0,0,-0.0010448759753665,-0.0244214520538797,0.0012186304836348,-0.0668476650406692,0.0004305523346626,0.0001881325180091,0.0012647630916811,0.0008431014963586,0.000630717317108,0.0043106572702527,"-0.0006,-0.0006,0.9342,1.7529,0.0226,-0.0001,-0.0001,0.9324,1.7521,0.0199","-0.0099,-0.0043,0.9401,1.7829,-0.6248,0.0097,0.0043,0.9367,1.7816,-0.6248",0.988016277551651,-20.827791213989254,1.0164523124694824,-20.827850341796875,0.9595802426338196,-20.82773208618164,0.0417950376868248,0.9768580794334412,"0.11476556956768036,0.05360201373696327,1.092574119567871,-7.601649761199951,0.04215371608734131,-0.10420577973127365,0.013532387092709541,0.8672247529029846,-7.659636974334717,0.07058978080749512","0.028793280944228172,0.1750263273715973,0.4208730459213257,0.0,3.013866901397705,-0.028214385733008385,-0.17957612872123718,0.33884358406066895,0.0,3.013807535171509",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
6,6,6,0.06,0.06,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4041152000427246,0.4061534404754638,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.06,0.06,39.63106155395508,0.0,40.31615447998047,0.0,79.94721527190946,0.0,0,0,-0.0015260054620828,-0.0327421779160772,0.0014457747145967,-0.0743641362066026,0.0005416049044211,0.0002344349607818,0.0016055052977272,0.0010176351093693,0.0007722946465946,0.0044240136630833,"-0.0008,-0.0008,0.9357,1.7520,0.0329,-0.0002,-0.0002,0.9335,1.7512,0.0297","-0.0093,-0.0044,0.9437,1.7625,-0.8083,0.0092,0.0044,0.9397,1.7610,-0.8083",1.0212428271770475,-16.711912155151367,1.0482628345489502,-16.711931228637695,0.9942228198051452,-16.71189308166504,0.0610402189195156,1.3096871376037598,"0.1160874143242836,0.053733110427856445,1.2296823263168335,-7.424921035766602,-0.1706404834985733,-0.10457558184862137,0.0160316564142704,1.014126181602478,-7.480926036834717,-0.14362047612667084","0.034448008984327316,0.04915997385978699,-0.06519100069999695,0.5859355926513672,0.33192920684814453,-0.034141868352890015,-0.05246920883655548,-0.14413094520568848,0.5190625190734863,0.3319098949432373",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
7,7,7,0.07,0.07,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4043197631835937,0.4048940539360046,True,False,True,False,True,False,True,False,True,True,double_contact,flight_or_no_contact,none,none,0.07,0.07,39.88857650756836,0.0,40.56589889526367,0.0,80.45447742623593,0.0,0,0,-0.0019875371290825,-0.0403787934168709,0.0016611695194984,-0.0829820508874082,0.0006491120079601,0.00028917434661,0.0019472396789739,0.0011773297958674,0.0009082043543457,0.0042481618002057,"-0.0008,-0.0009,0.9370,1.7511,0.0424,-0.0004,-0.0002,0.9343,1.7501,0.0387","-0.0089,-0.0042,0.9473,1.7485,-0.9707,0.0088,0.0042,0.9427,1.7470,-0.9707",0.8584977388381958,-15.922308444976808,0.8844472765922546,-15.92243194580078,0.832548201084137,-15.922184944152832,0.079501487314701,1.6151517629623413,"0.11292044818401337,0.05399032309651375,1.2128676176071167,-7.361732006072998,0.08713565766811371,-0.10068051517009735,0.018870357424020767,1.005653738975525,-7.4172258377075195,0.11308522522449493","0.05464890971779823,-0.009125273674726486,0.09674239158630371,-1.927140712738037,-1.5853513479232788,-0.054712358862161636,0.011628955602645874,0.03540836274623871,-1.939302921295166,-1.5854748487472534",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
8,8,8,0.08,0.08,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4045327007770538,0.4029961228370666,True,False,True,False,True,False,True,True,True,True,double_contact,flight_or_no_contact,none,none,0.08,0.08,39.59129333496094,0.0,40.27009582519531,77.16383361816406,79.86138574180885,77.16383068225208,0,0,-0.0024167042819424,-0.0439723882449251,0.0019516017363136,-0.0909924373433171,0.000751580884537,0.0005592892096799,0.0022871113294847,0.0012394251219098,0.0010424911743029,0.0046470314264297,"-0.0008,-0.0010,0.9384,1.7500,0.0518,-0.0006,-0.0003,0.9353,1.7490,0.0476","-0.0085,-0.0046,0.9457,1.7503,-1.1233,0.0077,0.0046,0.9391,1.7527,-1.1188",0.9546530842781068,-14.325571060180664,0.979906439781189,-14.821215629577637,0.9293997287750244,-13.829926490783691,0.0966681689023971,1.7588955163955688,"0.11304667592048645,0.05595533922314644,1.124613881111145,-7.289417743682861,0.06131061539053917,-0.10022928565740585,0.019730104133486748,0.9246048331260681,-7.346432209014893,0.08656397461891174","0.4777211844921112,0.347933292388916,3.2103755474090576,-5.927140712738037,-0.6630415916442871,-0.4300227165222168,-0.3164067268371582,4.0354084968566895,-5.939302921295166,-1.1586860418319702",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
9,9,9,0.09,0.09,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4047551155090332,0.4008370339870453,True,False,True,True,True,True,True,True,True,True,double_contact,right_only,none,flight_or_no_contact_to_right_only,0.09,0.01,39.09442138671875,61.50994110107422,39.77812576293945,60.50822067260742,78.87254944552879,122.01816235771636,0,0,-0.0028853387265767,-0.0413638214844348,0.0021645357587505,-0.0921078395921607,0.0008480361496848,0.0003525905753739,0.0026237961391804,0.000362921241566,0.0011756710009649,0.0057004755362868,"-0.0008,-0.0012,0.9397,1.7489,0.0620,-0.0009,-0.0003,0.9362,1.7478,0.0572","-0.0063,-0.0053,0.9419,1.7633,-1.2599,0.0051,0.0057,0.9365,1.7630,-1.2609",1.0161777436733246,-13.504404067993164,1.040916919708252,-13.343521118164062,0.9914385676383972,-13.665287017822266,0.1154135465621948,1.6545528173446655,"0.11243381351232529,0.057463616132736206,1.1186420917510986,-7.221092224121094,-0.06369827687740326,-0.09914173930883408,0.020301837474107742,0.9253572225570679,-7.280362129211426,-0.038959115743637085","-0.11985340714454651,0.3381815254688263,2.400804042816162,-9.927141189575195,3.336958408355713,0.15269005298614502,-0.26010584831237793,2.010713577270508,-9.939302444458008,2.8413138389587402",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
