directory,size_bytes,size_human,classification,n_references,has_small_summary,reason
outputs/step_e_extreme_support_fix_eval,3580760428,3.3G,SUMMARIZE_THEN_DELETE,42,True,Large (3.3G) generated diagnostic/raw output; referenced by 42 kept file(s); regenerable. Extract small summaries first.
outputs/hierarchical_controller_sim,747990101,713.3M,SUMMARIZE_THEN_DELETE,55,True,Large (713.3M) generated diagnostic/raw output; referenced by 55 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_height_variant_position_hold_audit_v2,486639390,464.1M,SUMMARIZE_THEN_DELETE,1,True,Large (464.1M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_height_variant_position_hold_final,437096609,416.8M,SUMMARIZE_THEN_DELETE,2,True,Large (416.8M) generated diagnostic/raw output; referenced by 2 kept file(s); regenerable. Extract small summaries first.
outputs/balance,287139689,273.8M,PROTECT,31,True,Trained checkpoints / setup JSONs — never delete.
outputs/step_c_sagittal_schedule_fix,285248845,272.0M,SUMMARIZE_THEN_DELETE,1,True,Large (272.0M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/hip_yaw_divergence_after_sign_fix_audit,268511519,256.1M,SUMMARIZE_THEN_DELETE,4,True,Large (256.1M) generated diagnostic/raw output; referenced by 4 kept file(s); regenerable. Extract small summaries first.
outputs/step_c_height_recovery_after_step_e_hv_fix,210107557,200.4M,SUMMARIZE_THEN_DELETE,3,True,Large (200.4M) generated diagnostic/raw output; referenced by 3 kept file(s); regenerable. Extract small summaries first.
outputs/balance_core_validation,181322475,172.9M,SUMMARIZE_THEN_DELETE,1,True,Large (172.9M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/posture_feasibility,179466223,171.2M,SUMMARIZE_THEN_DELETE,1,False,Large (171.2M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/hip_yaw_disturbance_rejection_audit,176954644,168.8M,SUMMARIZE_THEN_DELETE,5,True,Large (168.8M) generated diagnostic/raw output; referenced by 5 kept file(s); regenerable. Extract small summaries first.
outputs/hip_yaw_hy_ff_evaluation,155045938,147.9M,SUMMARIZE_THEN_DELETE,7,True,Large (147.9M) generated diagnostic/raw output; referenced by 7 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_best_current_profile_5000_eval,144260707,137.6M,SUMMARIZE_THEN_DELETE,8,True,Large (137.6M) generated diagnostic/raw output; referenced by 8 kept file(s); regenerable. Extract small summaries first.
outputs/hip_yaw_sign_convention_fix,137009567,130.7M,SUMMARIZE_THEN_DELETE,7,True,Large (130.7M) generated diagnostic/raw output; referenced by 7 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_height_variant_sagittal_schedule_fix,117655781,112.2M,SUMMARIZE_THEN_DELETE,1,True,Large (112.2M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/step_c_height_recovery,109403211,104.3M,SUMMARIZE_THEN_DELETE,7,True,Large (104.3M) generated diagnostic/raw output; referenced by 7 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_wbc_gate_fix,90015658,85.8M,SUMMARIZE_THEN_DELETE,1,True,Large (85.8M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_extreme_height_d2_official_check,90010024,85.8M,SUMMARIZE_THEN_DELETE,13,True,Large (85.8M) generated diagnostic/raw output; referenced by 13 kept file(s); regenerable. Extract small summaries first.
outputs/balance_core_position_containment,89815965,85.7M,SUMMARIZE_THEN_DELETE,1,True,Large (85.7M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/pitch_safe_joint_sagittal_yaw_fix,89478934,85.3M,SUMMARIZE_THEN_DELETE,3,True,Large (85.3M) generated diagnostic/raw output; referenced by 3 kept file(s); regenerable. Extract small summaries first.
outputs/step_c_extreme_height_recovery,84296474,80.4M,SUMMARIZE_THEN_DELETE,2,True,Large (80.4M) generated diagnostic/raw output; referenced by 2 kept file(s); regenerable. Extract small summaries first.
outputs/step_e_extreme_height_position_hold,84295314,80.4M,SUMMARIZE_THEN_DELETE,2,True,Large (80.4M) generated diagnostic/raw output; referenced by 2 kept file(s); regenerable. Extract small summaries first.
outputs/boundary_step_e_step_c_log_verification,78084590,74.5M,SUMMARIZE_THEN_DELETE,2,True,Large (74.5M) generated diagnostic/raw output; referenced by 2 kept file(s); regenerable. Extract small summaries first.
outputs/sagittal_position_hold_return,75671440,72.2M,SUMMARIZE_THEN_DELETE,1,True,Large (72.2M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/sagittal_position_aware_balance,73267533,69.9M,SUMMARIZE_THEN_DELETE,1,True,Large (69.9M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
outputs/root_z_recheck,64739855,61.7M,SUMMARIZE_THEN_DELETE,1,True,Large (61.7M) generated diagnostic/raw output; referenced by 1 kept file(s); regenerable. Extract small summaries first.
