directory,classification,action,reason,size_bytes
outputs/step_e_extreme_support_fix_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,3580760428
outputs/hierarchical_controller_sim,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,747990101
outputs/step_e_height_variant_position_hold_audit_v2,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,486639390
outputs/step_e_height_variant_position_hold_final,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,437096609
outputs/balance,PROTECT,SKIP_PROTECT_CLASS,not a deletable class,287139689
outputs/step_c_sagittal_schedule_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,285248845
outputs/hip_yaw_divergence_after_sign_fix_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,268511519
outputs/step_c_height_recovery_after_step_e_hv_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,210107557
outputs/balance_core_validation,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,181322475
outputs/posture_feasibility,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,179466223
outputs/hip_yaw_disturbance_rejection_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,176954644
outputs/hip_yaw_hy_ff_evaluation,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,155045938
outputs/step_e_best_current_profile_5000_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,144260707
outputs/hip_yaw_sign_convention_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,137009567
outputs/step_e_height_variant_sagittal_schedule_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,117655781
outputs/step_c_height_recovery,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,109403211
outputs/step_e_wbc_gate_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,90015658
outputs/step_e_extreme_height_d2_official_check,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,90010024
outputs/balance_core_position_containment,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,89815965
outputs/pitch_safe_joint_sagittal_yaw_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,89478934
outputs/step_c_extreme_height_recovery,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,84296474
outputs/step_e_extreme_height_position_hold,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,84295314
outputs/boundary_step_e_step_c_log_verification,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,78084590
outputs/sagittal_position_hold_return,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,75671440
outputs/sagittal_position_aware_balance,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,73267533
outputs/root_z_recheck,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,64739855
outputs/visual_inspection_low_0p300,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,54614095
outputs/step_c_height_recovery_rich,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,41292477
outputs/balance_core_position_containment_e0b,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,41216400
outputs/step_e_height_variant_position_hold_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,33424562
outputs/balance_core_position_aware_precheck_5000,DELETE_DIRECT,REFUSED_PROTECTED,path matches protected substring,33296041
outputs/balance_core_e0_cleanup_validation_5000,DELETE_DIRECT,REFUSED_PROTECTED,path matches protected substring,33296001
outputs/step_e_hip_yaw_authority_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,27522087
outputs/hip_yaw_boundary_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,26064346
outputs/step_e_root_cause_diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,25012198
outputs/step_c_height_recovery_variant_short,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,18304592
outputs/joint_profile_smoke_tests,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,17859864
outputs/step_c_high_tiny_failure_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7493011
outputs/step_c_height_recovery_short_v2,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,7311124
outputs/balance_core_e0_cleanup_validation,DELETE_DIRECT,REFUSED_PROTECTED,path matches protected substring,6667099
outputs/balance_core_position_aware_precheck_1000,DELETE_DIRECT,REFUSED_PROTECTED,path matches protected substring,6667072
outputs/stage2b_diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4934861
outputs/hip_yaw_root_cause_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,4229122
outputs/step_c_height_recovery_short,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,3661062
outputs/continuous_low_height_sagittal_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,3591136
outputs/step_e_official_validation,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2979528
outputs/low_height_pitch_position_interaction_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2519749
outputs/step_c_high_tiny_rich_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2046499
outputs/hip_yaw_yaw_architecture_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2003629
outputs/phase_b9_geometry_check,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1412228
outputs/d2_height_tracking_and_hiproll_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1396568
outputs/phase_b9_posture_fixed,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1291689
outputs/phase_b9_posture_balanced_root,DELETE_DIRECT,DELETED,rmtree ok,1268880
outputs/stage2_diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1039975
outputs/phase_b9_candidate_postures,DELETE_DIRECT,DELETED,rmtree ok,937945
outputs/phase_b9_task6_empirical_ik_corrected,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,771850
outputs/phase_b9_task6_empirical_ik_standing_only,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,769451
outputs/phase_b9_step5_5_roll_tilt_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,704238
outputs/advanced_hip_yaw_rejection_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,559341
outputs/phase_b9_task6_empirical_ik,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,532379
outputs/step_c_initialization_method_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,450947
outputs/operational_height_envelope_search,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,395183
outputs/phase_b8_diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,320893
outputs/phase_b9_camera_tests,DELETE_DIRECT,DELETED,rmtree ok,292771
outputs/low_0p300_initialization_contact_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,264998
outputs/phase_b9_task4_telemetry,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,203343
outputs/phase_b9_baseline_comparison,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,177044
outputs/controller_system_root_cause_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,163859
outputs/phase_b9_balanced_root_contact_test,DELETE_DIRECT,DELETED,rmtree ok,154417
outputs/step_e_second_stage_diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,150217
outputs/hierarchical_controller_fix_phase7,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,145921
outputs/hierarchical_controller_fix_phase6,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,142540
outputs/hierarchical_controller_fix_phase4,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,117691
outputs/physical_standing_height_envelope_search,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,116113
outputs/hip_yaw_sign_fix_roll_collapse_audit,DELETE_DIRECT,DELETED,rmtree ok,115914
outputs/hierarchical_controller_fix_phase5,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,114880
outputs/hierarchical_controller_fix_baseline_step_a,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,108055
outputs/hierarchical_controller_fix_phase3,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,102606
outputs/hierarchical_controller_fix_step_b,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,98013
outputs/hierarchical_controller_fix_phase2_selected,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,97091
outputs/phase_b9_task7_gain_tuning,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,80761
outputs/step_e_extreme_failure_root_cause_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,78287
outputs/hierarchical_controller_fix_phase2,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,76614
outputs/phase_b9_step5_10_early_transient_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,72021
outputs/phase_b9_step5_20_low_stiffness_dynamic_balance,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,66130
outputs/continuous_low_height_sagittal_authority_fix,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,61960
outputs/stage2_gain_sweep,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,59917
outputs/phase_b9_slow_loop_gating_full_sweep,DELETE_DIRECT,DELETED,rmtree ok,56531
outputs/hip_yaw_divergence_fix_authority_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,55751
outputs/balance_core_true_height_variants,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,55666
outputs/phase_b9_slow_loop_gating,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,52983
outputs/prior_tuning,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,51539
outputs/height_range_extension_strategy_audit,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,47878
outputs/phase_b9_lqr_gain_strengthening,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,45964
outputs/sagittal_velocity_damped_balance,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,45298
outputs/balance_core_extended_height_range,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,44789
