source,destination,action,reason,status
t6a_run.log,,delete,generated_run_log,deleted
t6b_5000_run.log,,delete,generated_run_log,deleted
t6b_run.log,,delete,generated_run_log,deleted
t6c_run.log,,delete,generated_run_log,deleted
t6d_run.log,,delete,generated_run_log,deleted
t6e_run.log,,delete,generated_run_log,deleted
t6h_t6i_500_T5_run.log,,delete,generated_run_log,deleted
t6h_t6i_500_T6F_run.log,,delete,generated_run_log,deleted
t6h_t6i_500_T6H_run.log,,delete,generated_run_log,deleted
t6h_t6i_500_T6I_run.log,,delete,generated_run_log,deleted
MUJOCO_LOG.TXT,,delete,generated_run_log,deleted
repo_tracked_files.txt,,delete,audit_temp_output,deleted
repo_status_ignored.txt,,delete,audit_temp_output,deleted
__pycache__/ (recursive),,delete,python_bytecode_cache,deleted
.pytest_cache,,delete,test_cache,deleted
.ruff_cache,,delete,lint_cache,deleted
.mypy_cache,,delete,type_cache,deleted
wheeled_biped_sim.egg-info,,delete,build_metadata,deleted
