step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7496498823165894,1.0333331823349,0.0,0.0,-0.03298669,0.22837327,-0.0517735,0.35831666,0.0,0.0,0.8402077579978144,1.4974526604923712,0.0,1,0,0,0.16539805,0.24840792,0.0,0.16539805,0.24840792,0.0,9.683324813842773,False,False
1,0.02,-6.6771566472245,6.3719449484074255,11.474495824473395,-28.684837664856346,-96.80599231426156,0.4,0.7496498823165894,1.0534509420394897,0.24840791523456573,0.0,0.004654128,0.2735968,-0.017586952,0.3655749,5.347345352172852,3.570526123046875,0.8402077579978144,1.4974526604923712,-1.9316342230141164,1,0,0,0.16539805,0.24840792,-0.09658171,0.16539805,0.24840792,-0.09658171,9.50871467590332,False,False
2,0.04,-7.449510596588134,8.605797590047823,-1.1097139612217828,-17.021160968299228,-79.3509384562954,0.3758545719087124,0.7496498823165894,1.058035969734192,0.24840791523456573,0.0,0.02969438,0.33023357,0.005012713,0.40583676,5.186765670776367,4.61052942276001,0.8402077579978144,1.4974526604923712,-2.1843122262321413,1,0,0,0.16539805,0.24840792,-0.10921561,0.16539805,0.24840792,-0.10921561,8.56062126159668,False,False
3,0.06,-7.323165757321237,5.842558330180894,-13.51668567404042,4.55364186964425,-63.846477342258154,0.3726960975676775,0.7496498823165894,1.0479133129119873,0.24840791523456573,0.0,0.045685634,0.39318463,0.019468686,0.46037284,5.029901504516602,4.811704158782959,0.8402077579978144,1.4974526604923712,-1.7457144661527126,1,0,0,0.16539805,0.24840792,-0.08728572,0.16539805,0.24840792,-0.08728572,7.593440532684326,False,False
4,0.08,-13.693499634858187,4.729272500188311,-25.115239078182405,11.124700492735887,-70.2507837269531,0.37817857004702093,0.7496498823165894,1.0233935117721558,0.24840791523456573,0.0,0.056111675,0.45901424,0.028987464,0.52214575,4.900170803070068,4.89181661605835,0.8402077579978144,1.4974526604923712,0.25428553384728736,1,0,1,0.16539805,0.24840792,0.012714277,0.16539805,0.24840792,0.012714277,7.8619065284729,False,False
5,0.1,-12.54165311813265,2.5697517400681047,-37.21305284366929,19.45749115279007,-56.15959803521821,0.40317856925539675,0.7496498823165894,0.9847185015678406,0.24840791523456573,0.0,0.062377762,0.52653015,0.034676272,0.58680165,4.892124176025391,4.826569080352783,0.8402077579978144,1.4974526604923712,2.151904826745295,1,0,2,0.16539805,0.24840792,0.10759524,0.16539805,0.24840792,0.10759524,8.696091651916504,False,False
6,0.12,-15.15860082503531,2.035419851439072,-48.85230307620714,18.5045636503574,-55.00596200893013,0.4268988106399775,0.7496498823165894,0.9320855736732483,0.24840791523456573,0.0,0.0657088,0.59454304,0.037463345,0.6522216,4.8459391593933105,4.833313941955566,0.8402077579978144,1.4974526604923712,4.1519048267452945,1,0,3,0.16539805,0.24840792,0.20759524,0.16539805,0.24840792,0.20759524,8.891489028930664,False,False
7,0.14,-18.173280692591565,1.292619276840437,-60.394042113059314,17.832143479400692,-55.233014572414284,0.4518988110125065,0.7496498823165894,0.8654712438583374,0.24840791523456573,0.0,0.06737979,0.6620926,0.038536917,0.7179291,4.814462661743164,4.8253889083862305,0.8402077579978144,1.4974526604923712,6.1519048267452945,1,0,4,0.16539805,0.24840792,0.30759525,0.16539805,0.24840792,0.30759525,7.0360307693481445,False,False
8,0.16,-15.190118732960332,4.0559067749183795,-64.04242863935664,-18.02950862565738,-17.057849329425952,0.4768988132476807,0.7496498823165894,0.7912749648094177,0.24840791523456573,0.0,0.06274988,0.72283345,0.038698297,0.8066,4.820342540740967,6.634949207305908,0.8402077579978144,1.4974526604923712,6.7296904944195735,1,0,5,0.16539805,0.24840792,0.33648452,0.16539805,0.24840792,0.33648452,1.6262290477752686,False,False
9,0.18,-14.97172684934376,6.840258576396642,-71.65925069607977,-43.819317676837755,-3.889961352617396,0.48412113040685656,0.7496498823165894,0.7102897763252258,0.24840791523456573,0.0,0.054532357,0.7769676,0.033657946,0.9071672,4.861964225769043,6.167623043060303,0.8402077579978144,1.4974526604923712,7.347752691356892,1,0,6,0.16539805,0.24840792,0.36738762,0.16539805,0.24840792,0.36738762,-7.4285664558410645,False,False
10,0.2,-14.747915210620782,11.008372125886815,-80.13133538029355,-72.79110183401009,2.7152469356638353,0.49184690564870837,0.7496498823165894,0.6199372410774231,0.24840791523456573,0.0,0.047475442,0.82667583,0.023539344,1.0142248,4.898300647735596,5.6187262535095215,0.8402077579978144,1.4974526604923712,8.018082211307544,2,1,7,0.16539805,0.24840792,0.40090412,0.16539805,0.24840792,0.40090412,-20.694007873535156,False,False
11,0.22,-14.593062869305546,17.07047322655943,-89.51975141336706,-106.37781258692826,3.429922925694473,0.500226029753685,0.7496498823165894,0.5185982584953308,0.24840791523456573,0.0,0.04385495,0.87308675,0.011311496,1.1259967,4.925336837768555,4.880367279052734,0.8402077579978144,1.4974526604923712,8.768148306713716,2,1,8,0.16539805,0.24840792,0.43840742,0.16539805,0.24840792,0.43840742,-32.67483901977539,False,False
12,0.24,-17.63208040842185,30.78883304244917,-94.07341121225788,-217.49296241990731,-27.913272175455024,0.5096018552780152,0.7496498823165894,0.40528663992881775,0.24840791523456573,0.0,0.043738037,0.9330168,0.0013867525,1.2343762,5.6147871017456055,4.128742218017578,0.8402077579978144,1.4974526604923712,9.940394091591484,2,1,9,0.16539805,0.24840792,0.4970197,0.16539805,0.24840792,0.4970197,-58.021141052246094,False,False
