step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,0.658333295583725,-0.07092082500457764,0.0,0.0,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.32999999999999996,0.53,0.0,1,0,0,-0.27826086,-0.35625,0.0,-0.27826086,-0.35625,0.0,8.95279312133789,False,False
1,0.02,2.3424912827010935,2.2597100302907736,-134.51140958953496,-101.5840238273873,-20.555802646801045,0.5874124705791474,0.6655552923679352,-0.07814282178878784,0.0,0.0,0.19348897,0.41728604,0.2865284,0.53183115,-1.2226061820983887,0.059286393225193024,0.32999999999999996,0.53,2.0,1,0,0,-0.27826086,-0.35625,0.1,-0.27826086,-0.35625,0.1,8.226398468017578,False,False
2,0.04,3.5079832367278447,5.321837514463815,-164.99922936507252,-34.53586799092899,-20.13898010741726,0.5874124705791474,0.672114247083664,-0.0847017765045166,0.0,0.0,0.098773204,0.32065362,0.1848025,0.44418207,2.4402952194213867,4.434998989105225,0.32999999999999996,0.53,4.0,1,0,0,-0.27826086,-0.35625,0.2,-0.27826086,-0.35625,0.2,6.629083156585693,False,False
3,0.06,3.8227954067536065,8.483654170894132,-157.49753697699913,-0.2925485814567234,-7.608973315593128,0.5874124705791474,0.6770756781101227,-0.08966320753097534,0.0,0.0,-0.010951848,0.19175877,0.07672474,0.33309093,9.4713716506958,10.673598289489746,0.32999999999999996,0.53,5.586053314272165,1,0,0,-0.27826086,-0.35625,0.27930266,-0.27826086,-0.35625,0.27930266,2.9696567058563232,False,False
4,0.08,3.7314100369797747,11.620439037789998,-160.06119384045004,5.266720449182751,2.6837759852893552,0.5874124705791474,0.6798190414905548,-0.09240657091140747,0.0,0.0,-0.123718135,0.052735116,-0.028623767,0.20198832,18.989013671875,18.965579986572266,0.32999999999999996,0.53,5.848857803495651,1,0,0,-0.27826086,-0.35625,0.2924429,-0.27826086,-0.35625,0.2924429,-3.235888719558716,False,False
5,0.1,3.4662768209952777,14.765685655293863,-155.71646952826993,8.000569405051117,15.844577213947199,0.5874124705791474,0.6795538604259491,-0.09214138984680176,0.0,0.0,-0.23631604,-0.08894434,-0.13137047,0.056728862,28.52021598815918,27.936214447021484,0.32999999999999996,0.53,5.068094705364709,1,0,0,-0.27826086,-0.35625,0.25340474,-0.27826086,-0.35625,0.25340474,-10.342036247253418,False,False
6,0.12,3.1325123701266113,17.99363305704189,-162.52939198006086,0.1571150149005752,23.496071018444596,0.5874124705791474,0.6756927609443665,-0.08828029036521912,0.0,0.0,-0.34864458,-0.23073004,-0.23216002,-0.09534466,36.20472717285156,34.99361801147461,0.32999999999999996,0.53,4.369407412649656,1,0,0,-0.27826086,-0.35625,0.21847036,-0.27826086,-0.35625,0.21847036,-16.355966567993164,False,False
7,0.14,2.806367208720506,21.386420244219003,-172.55135586997727,-8.103416686025875,34.484907949531525,0.5874124705791474,0.6681213319301605,-0.08070886135101318,0.0,0.0,-0.46132812,-0.37163123,-0.3315347,-0.2511071,42.27799606323242,39.91130828857422,0.32999999999999996,0.53,3.9477501207556362,1,0,0,-0.27826086,-0.35625,0.1973875,-0.27826086,-0.35625,0.1973875,-22.60635757446289,False,False
8,0.16,2.457869826368711,24.146433093476748,-68.23394497826422,-67.95734280744621,88.9306612578318,0.5874124705791474,0.6569763958454132,-0.06956392526626587,0.0,0.0,-0.5392869,-0.4965829,-0.41860265,-0.40731922,47.32884979248047,45.0474967956543,0.32999999999999996,0.53,1.9477501207556362,1,0,0,-0.27826086,-0.35625,0.09738751,-0.27826086,-0.35625,0.09738751,-24.004486083984375,False,False
9,0.18,2.00731917253317,25.94349001505295,-105.0231879990288,-91.16365500318408,118.33197552133873,0.5874124705791474,0.6427831441164017,-0.055370673537254333,0.0,0.0,-0.5374057,-0.54122347,-0.489506,-0.5398553,48.49626159667969,46.299808502197266,0.32999999999999996,0.53,0.1996584467076581,1,0,0,-0.27826086,-0.35625,0.009982922,-0.27826086,-0.35625,0.009982922,-19.0000057220459,False,False
