step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7496498823165894,1.0333331823349,0.0,0.0,-0.03298669,0.22837327,-0.0517735,0.35831666,0.0,0.0,0.8402077579978144,1.4974526604923712,0.0,1,0,0,0.16539805,0.24840792,0.0,0.16539805,0.24840792,0.0,9.683324813842773,False,False
1,0.02,-6.6771566472245,6.3719449484074255,11.474495824473395,-28.684837664856346,-96.80599231426156,0.4,0.7496498823165894,1.0534509420394897,0.24840791523456573,0.0,0.004654128,0.2735968,-0.017586952,0.3655749,5.347345352172852,3.570526123046875,0.8402077579978144,1.4974526604923712,-0.5902314807474613,1,0,0,0.16539805,0.24840792,-0.029511575,0.16539805,0.24840792,-0.029511575,9.716114044189453,False,False
2,0.04,-7.449769290002948,8.621233817572053,-1.10704026232684,-16.994693985265428,-79.35178539975247,0.3926221063360572,0.7496498823165894,1.0580374002456665,0.24840791523456573,0.0,0.029693954,0.3302486,0.0050133313,0.40585357,5.180499076843262,4.604300022125244,0.8402077579978144,1.4974526604923712,-0.17143652338534587,1,0,0,0.16539805,0.24840792,-0.008571826,0.16539805,0.24840792,-0.008571826,9.385537147521973,False,False
3,0.06,-7.323683997924512,5.8837345524791385,-13.511458018004422,4.540861305046686,-63.84986511608648,0.39785704351961615,0.7496498823165894,1.0479192733764648,0.24840791523456573,0.0,0.045684554,0.39324963,0.019470008,0.46044528,5.0183916091918945,4.800224304199219,0.8402077579978144,1.4974526604923712,0.6035400887392459,1,0,0,0.16539805,0.24840792,0.030177005,0.16539805,0.24840792,0.030177005,9.177358627319336,False,False
4,0.08,-13.694560875500477,4.802808451226785,-25.10887163432866,10.992587558714915,-70.26175301076015,0.4075442511588335,0.7496498823165894,1.0234053134918213,0.24840791523456573,0.0,0.056110017,0.45916507,0.028987527,0.52231544,4.885380268096924,4.87695837020874,0.8402077579978144,1.4974526604923712,2.603540088739246,1,0,1,0.16539805,0.24840792,0.130177,0.16539805,0.24840792,0.130177,8.972590446472168,False,False
5,0.1,-12.543339321083998,2.67918929981828,-37.20769114517083,19.136497875008857,-56.182055697209215,0.43254425153136256,0.7496498823165894,0.9847351908683777,0.24840791523456573,0.0,0.062376175,0.5267919,0.03467198,0.5871008,4.8762664794921875,4.810626029968262,0.8402077579978144,1.4974526604923712,4.345239566077514,1,0,2,0.16539805,0.24840792,0.21726198,0.16539805,0.24840792,0.21726198,7.283201694488525,False,False
6,0.12,-15.161464381844837,2.1834082795252687,-48.84998081188934,17.952242110671612,-55.04730514397622,0.4543154962360859,0.7496498823165894,0.9321048855781555,0.24840791523456573,0.0,0.06570792,0.59492594,0.037450705,0.65266794,4.830629348754883,4.817812442779541,0.8402077579978144,1.4974526604923712,6.178873301466423,1,0,3,0.16539805,0.24840792,0.30894366,0.16539805,0.24840792,0.30894366,2.260955572128296,False,False
7,0.14,-18.1779422967001,1.4837560376260142,-60.39626192453957,17.030853006731476,-55.300790539548316,0.4772359147667885,0.7496498823165894,0.8654897212982178,0.24840791523456573,0.0,0.06737964,0.6625944,0.0385116,0.7185289,4.80034875869751,4.8109636306762695,0.8402077579978144,1.4974526604923712,8.073136783899887,1,0,4,0.16539805,0.24840792,0.40365684,0.16539805,0.24840792,0.40365684,-5.702723026275635,False,False
8,0.16,-14.390607524569905,6.593669537452142,-63.41237783936882,-37.55257471712145,-14.731070256580239,0.5009142100811005,0.7496498823165894,0.792665958404541,0.24840791523456573,0.0,0.062267248,0.71997523,0.03920568,0.82342166,4.864997863769531,5.667473316192627,0.8402077579978144,1.4974526604923712,8.158208921396835,1,0,5,0.16539805,0.24840792,0.40791044,0.16539805,0.24840792,0.40791044,-18.991334915161133,False,False
9,0.18,-14.676647309273577,10.652098359721549,-72.2786190802057,-70.59408269501628,-7.159392335176318,0.5019776090979576,0.7496498823165894,0.7118198275566101,0.24840791523456573,0.0,0.05572863,0.7688366,0.03548588,0.93978465,4.950578212738037,4.886435508728027,0.8402077579978144,1.4974526604923712,8.668513838363666,1,0,6,0.16539805,0.24840792,0.4334257,0.16539805,0.24840792,0.4334257,-37.40248107910156,False,False
10,0.2,-15.529357153561941,15.661272012096981,-82.9008199943828,-97.22756525021309,-7.208486027383077,0.508356423676014,0.7496498823165894,0.6188977360725403,0.24840791523456573,0.0,0.052225977,0.81469715,0.031071052,1.0535631,4.997230052947998,4.151150226593018,0.8402077579978144,1.4974526604923712,9.51787569693516,2,1,7,0.16539805,0.24840792,0.4758938,0.16539805,0.24840792,0.4758938,-62.13499069213867,False,False
11,0.22,-16.25124838467705,22.552482092154627,-94.1254094424092,-123.74393055171168,-8.703524790466012,0.5189734488725662,0.7496498823165894,0.512101948261261,0.24840791523456573,0.0,0.05238008,0.85987246,0.029798824,1.1636931,5.006434917449951,3.6178200244903564,0.8402077579978144,1.4974526604923712,10.460379840741927,2,1,8,0.16539805,0.24840792,0.523019,0.16539805,0.24840792,0.523019,-82.23795318603516,False,False
12,0.24,-19.67183102668153,38.440318309210106,-99.50019458331894,-239.9796800356385,-30.813151930988997,0.530754753947258,0.7496498823165894,0.3909413814544678,0.24840791523456573,0.0,0.053983595,0.92808944,0.034229077,1.2549554,4.111109733581543,3.840001344680786,0.8402077579978144,1.4974526604923712,11.662261814358093,2,1,9,0.16539805,0.24840792,0.5831131,0.16539805,0.24840792,0.5831131,-123.22262573242188,False,False
13,0.26,-20.832903421428462,53.31523064216352,-110.79712256484493,-321.42225464222355,-13.224076101128842,0.5457782685756684,0.7496498823165894,0.2560822069644928,0.24840791523456573,0.0,0.053638075,1.0716089,0.037888903,1.308874,2.6044559478759766,3.9491019248962402,0.8402077579978144,1.4974526604923712,12.769782571694368,2,1,10,0.16539805,0.24840792,0.6384891,0.16539805,0.24840792,0.6384891,-177.1345672607422,False,False
14,0.28,-21.137808188619708,70.99832744104349,-120.81125222778331,-367.2628506907107,0.4317049079354327,0.5596222817897797,0.7496498823165894,0.1009335070848465,0.24840791523456573,0.0,0.056288116,1.1811908,0.035377692,1.3588415,2.2802882194519043,3.861818790435791,0.8402077579978144,1.4974526604923712,13.596377219826486,2,1,11,0.16539805,0.24840792,0.67981887,0.16539805,0.24840792,0.67981887,-242.65663146972656,False,False
15,0.3,-20.835845525413443,91.97909762781354,-127.4673262154741,-401.7807143029875,7.475851221122287,0.5699547171592713,0.7496498823165894,-0.07453024387359619,0.24840791523456573,0.0,0.059584618,1.2723098,0.029768014,1.4099768,2.2554879188537598,3.6855061054229736,0.8402077579978144,1.4974526604923712,14.082075450763744,2,1,12,0.16539805,0.24840792,0.70410377,0.16539805,0.24840792,0.70410377,-317.9783630371094,False,False
16,0.32,-20.02177918390172,115.77461609230255,-129.46272500035832,-432.1890170162078,8.319784272327185,0.5760259419679642,0.7496498823165894,-0.2694857120513916,0.24840791523456573,0.0,0.06248967,1.3522074,0.023310194,1.4634686,2.296457529067993,3.471879243850708,0.8402077579978144,1.4974526604923712,14.188418901984654,2,1,13,0.16539805,0.24840792,0.7094209,0.16539805,0.24840792,0.7094209,-400.0510559082031,True,False
