step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,1.0333331823349,-0.28368330001831055,0.0,0.0,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.8402077579978144,1.4974526604923712,0.0,1,0,0,0.16539805,0.24840792,0.0,0.16539805,0.24840792,0.0,9.683324813842773,False,False
1,0.02,2.20807828247712,0.8676697728396906,-28.684837664856346,-96.80599231426156,-14.463478812824771,0.5874124705791474,1.0534509420394897,-0.3038010597229004,0.0,0.0,0.2735968,0.5203421,0.3655749,0.64154744,-1.6239488124847412,-0.035679224878549576,0.8402077579978144,1.4974526604923712,-0.5902314807474613,1,0,0,0.16539805,0.24840792,-0.029511575,0.16539805,0.24840792,-0.029511575,9.716114044189453,False,False
2,0.04,3.9556417323367086,1.249930701249563,-16.994693985265428,-79.35178539975247,-25.36983437949463,0.5874124705791474,1.0580374002456665,-0.30838751792907715,0.0,0.0,0.3302486,0.6253256,0.40585357,0.726476,-2.593242645263672,-1.0925273895263672,0.8402077579978144,1.4974526604923712,-0.17143652338534587,1,0,0,0.16539805,0.24840792,-0.008571826,0.16539805,0.24840792,-0.008571826,9.385537147521973,False,False
3,0.06,5.3879238635519195,1.2629460535998454,4.540861305046686,-63.84986511608648,-30.242745757928308,0.5874124705791474,1.0479192733764648,-0.2982693910598755,0.0,0.0,0.39324963,0.72702205,0.46044528,0.8212349,-2.773622989654541,-1.3475772142410278,0.8402077579978144,1.4974526604923712,0.6035400887392459,1,0,0,0.16539805,0.24840792,0.030177005,0.16539805,0.24840792,0.030177005,9.177358627319336,False,False
4,0.08,6.762568162795509,0.9848107187565828,10.992587558714915,-70.26175301076015,-39.90908560342423,0.5874124705791474,1.0234053134918213,-0.27375543117523193,0.0,0.0,0.45916507,0.8257575,0.52231544,0.91830844,-1.5648170709609985,-0.206039696931839,0.8402077579978144,1.4974526604923712,2.603540088739246,1,0,1,0.16539805,0.24840792,0.130177,0.16539805,0.24840792,0.130177,8.972590446472168,False,False
5,0.1,8.041314898544828,0.5312789007917429,19.136497875008857,-56.182055697209215,-37.37029404364674,0.5874124705791474,0.9847351908683777,-0.23508530855178833,0.0,0.0,0.5267919,0.9234091,0.5871008,1.0150182,3.1531779766082764,4.447127342224121,0.8402077579978144,1.4974526604923712,4.345239566077514,1,0,2,0.16539805,0.24840792,0.21726198,0.16539805,0.24840792,0.21726198,7.283201694488525,False,False
6,0.12,9.177667984911835,0.010590285848094128,17.952242110671612,-55.04730514397622,-37.41708766965049,0.5874124705791474,0.9321048855781555,-0.18245500326156616,0.0,0.0,0.59492594,1.0203694,0.65266794,1.1113255,10.754007339477539,11.986351013183594,0.8402077579978144,1.4974526604923712,6.178873301466423,1,0,3,0.16539805,0.24840792,0.30894366,0.16539805,0.24840792,0.30894366,2.260955572128296,False,False
7,0.14,10.299055273033698,-0.5029794527088232,17.030853006731476,-55.300790539548316,-36.86009257302512,0.5874124705791474,0.8654897212982178,-0.11583983898162842,0.0,0.0,0.6625944,1.1166154,0.7185289,1.2075993,21.263866424560547,22.437742233276367,0.8402077579978144,1.4974526604923712,8.073136783899887,1,0,4,0.16539805,0.24840792,0.40365684,0.16539805,0.24840792,0.40365684,-5.702723026275635,False,False
8,0.16,10.807161583127408,-0.11968540482613343,-37.55257471712145,-14.731070256580239,30.049468479889875,0.5874124705791474,0.792665958404541,-0.04301607608795166,0.0,0.0,0.71997523,1.2129633,0.82342166,1.3240296,34.66025924682617,29.239107131958008,0.8402077579978144,1.4974526604923712,8.158208921396835,1,0,5,0.16539805,0.24840792,0.40791044,0.16539805,0.24840792,0.40791044,-18.991334915161133,False,False
9,0.18,10.880732111998555,1.4033890436438823,-70.59408269501628,-7.159392335176318,80.86404392350666,0.5874124705791474,0.7118198275566101,0.03783005475997925,0.0,0.0,0.7688366,1.3112328,0.93978465,1.430041,47.57210922241211,39.974124908447266,0.8402077579978144,1.4974526604923712,8.668513838363666,1,0,6,0.16539805,0.24840792,0.4334257,0.16539805,0.24840792,0.4334257,-37.40248107910156,False,False
10,0.2,10.754052593462328,3.8253200154255724,-97.22756525021309,-7.208486027383077,127.25380084164117,0.5874124705791474,0.6188977360725403,0.13075214624404907,0.0,0.0,0.81469715,1.4108179,1.0535631,1.5191649,60.78230667114258,52.013668060302734,0.8402077579978144,1.4974526604923712,9.51787569693516,2,1,7,0.16539805,0.24840792,0.4758938,0.16539805,0.24840792,0.4758938,-62.13499069213867,False,False
11,0.22,10.374275292589402,7.07669325847945,-123.74393055171168,-8.703524790466012,171.50905534225498,0.5874124705791474,0.512101948261261,0.23754793405532837,0.0,0.0,0.85987246,1.5109413,1.1636931,1.5941854,74.88133239746094,65.15542602539062,0.8402077579978144,1.4974526604923712,10.460379840741927,2,1,8,0.16539805,0.24840792,0.523019,0.16539805,0.24840792,0.523019,-82.23795318603516,False,False
12,0.24,9.737653850620024,11.192384252316128,-239.9796800356385,-30.813151930988997,197.04217393159522,0.5874124705791474,0.3909413814544678,0.3587085008621216,0.0,0.0,0.92808944,1.6080605,1.2549554,1.6667268,78.1379165649414,80.70962524414062,0.8402077579978144,1.4974526604923712,11.662261814358093,2,1,9,0.16539805,0.24840792,0.5831131,0.16539805,0.24840792,0.5831131,-123.22262573242188,False,False
13,0.26,9.292996582821146,17.895855483978572,-321.42225464222355,-13.224076101128842,167.13692831112476,0.5874124705791474,0.2560822069644928,0.49356767535209656,0.0,0.0,1.0716089,1.6692834,1.308874,1.7452819,94.1912841796875,97.68463134765625,0.8402077579978144,1.4974526604923712,12.769782571694368,2,1,10,0.16539805,0.24840792,0.6384891,0.16539805,0.24840792,0.6384891,-177.1345672607422,False,False
14,0.28,8.60737450997245,25.513970154002116,-367.2628506907107,0.4317049079354327,150.7122767913467,0.5874124705791474,0.1009335070848465,0.6487163752317429,0.0,0.0,1.1811908,1.7169497,1.3588415,1.8234999,112.48369598388672,115.83164978027344,0.8402077579978144,1.4974526604923712,13.596377219826486,2,1,11,0.16539805,0.24840792,0.67981887,0.16539805,0.24840792,0.67981887,-242.65663146972656,False,False
15,0.3,7.788690106808151,33.78005291775372,-401.7807143029875,7.475851221122287,142.9811583490526,0.5874124705791474,-0.07453024387359619,0.8241801261901855,0.0,0.0,1.2723098,1.7620484,1.4099768,1.8988856,131.38162231445312,134.59112548828125,0.8402077579978144,1.4974526604923712,14.082075450763744,2,1,12,0.16539805,0.24840792,0.70410377,0.16539805,0.24840792,0.70410377,-317.9783630371094,False,False
16,0.32,6.926445745325271,42.6031751743603,-432.1890170162078,8.319784272327185,140.62574029301703,0.5874124705791474,-0.2694857120513916,1.019135594367981,0.0,0.0,1.3522074,1.8075857,1.4634686,1.9702749,150.2498779296875,153.32455444335938,0.8402077579978144,1.4974526604923712,14.188418901984654,2,1,13,0.16539805,0.24840792,0.7094209,0.16539805,0.24840792,0.7094209,-400.0510559082031,True,False
