step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,0.658333295583725,-0.07092082500457764,0.0,0.0,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.7810585410928217,1.4374526604923712,0.0,1,0,0,0.11396395,0.2109079,0.0,0.11396395,0.2109079,0.0,9.677053451538086,False,False
1,0.02,2.2138137203892265,1.0754117907146268,-45.21076039945817,-96.8836105839896,-15.024882796559384,0.5874124705791474,0.6635495066642761,-0.07613703608512878,0.0,0.0,0.2653864,0.5131831,0.357415,0.63412523,-1.6102834939956665,-0.030925070866942406,0.7810585410928217,1.4374526604923712,1.2350039502491779,1,0,0,0.11396395,0.2109079,0.061750196,0.11396395,0.2109079,0.061750196,9.692412376403809,False,False
2,0.04,3.963343624399544,1.8697555341111165,-40.301882952402494,-79.1048330801215,-25.913592569508513,0.5874124705791474,0.6650472223758698,-0.07763475179672241,0.0,0.0,0.30622235,0.6048414,0.38203415,0.7057951,0.6762126088142395,2.1683318614959717,0.7810585410928217,1.4374526604923712,1.2651408021785304,1,0,0,0.11396395,0.2109079,0.06325704,0.11396395,0.2109079,0.06325704,9.237441062927246,False,False
3,0.06,5.397282076488484,2.3811949765197937,-21.755457072622086,-63.27190133870917,-30.650477315526803,0.5874124705791474,0.6629684209823609,-0.0755559504032135,0.0,0.0,0.35062328,0.6917974,0.4181788,0.7859439,2.9024159908294678,4.320265769958496,0.7810585410928217,1.4374526604923712,0.3032474551609674,1,0,0,0.11396395,0.2109079,0.015162373,0.11396395,0.2109079,0.015162373,8.870922088623047,False,False
4,0.08,6.77229477906043,2.637604973717127,-16.56292869952495,-68.80414283055522,-40.52455736462866,0.5874124705791474,0.6573678493499756,-0.06995537877082825,0.0,0.0,0.39685556,0.775746,0.46043244,0.8683245,3.3051326274871826,4.656002044677734,0.7810585410928217,1.4374526604923712,-0.5090899130830338,1,0,0,0.11396395,0.2109079,-0.025454495,0.11396395,0.2109079,-0.025454495,8.977761268615723,False,False
5,0.1,8.04937708308638,2.7311638377509038,-8.98124967362884,-54.46205013965992,-37.99720637171094,0.5874124705791474,0.6482958883047104,-0.06088341772556305,0.0,0.0,0.44424108,0.85895437,0.5050467,0.95067436,2.2389450073242188,3.5254828929901123,0.7810585410928217,1.4374526604923712,-1.2738503089370825,1,0,0,0.11396395,0.2109079,-0.06369252,0.11396395,0.2109079,-0.06369252,9.076108932495117,False,False
6,0.12,9.181240173847751,2.7557053477689943,-10.05207734019333,-52.68073338902601,-38.46668283940635,0.5874124705791474,0.6357945591211319,-0.04838208854198456,0.0,0.0,0.49177524,0.9419375,0.55011857,1.0330495,-0.13991190493106842,1.0853840112686157,0.7810585410928217,1.4374526604923712,-1.5748026386636222,1,0,0,0.11396395,0.2109079,-0.078740135,0.11396395,0.2109079,-0.078740135,9.027671813964844,False,False
7,0.14,9.73005868026297,3.1922775925812807,-33.26941431502523,-14.910801561947247,-4.324007067767013,0.5874124705791474,0.6215370237827301,-0.034124553203582764,0.0,0.0,0.5335076,1.0246539,0.6090063,1.1527687,-2.9388046264648438,-2.76763653755188,0.7810585410928217,1.4374526604923712,-0.8457014705060485,1,0,0,0.11396395,0.2109079,-0.042285074,0.11396395,0.2109079,-0.042285074,8.748892784118652,False,False
8,0.16,9.832983654639538,3.9127519863304365,-38.70586923395103,-2.03155204337814,9.460116797659373,0.5874124705791474,0.6054101377725601,-0.01799766719341278,0.0,0.0,0.5729959,1.1074928,0.6652152,1.2812515,-4.304772853851318,-4.020422458648682,0.7810585410928217,1.4374526604923712,-0.22330695578658888,1,0,0,0.11396395,0.2109079,-0.011165348,0.11396395,0.2109079,-0.011165348,8.441091537475586,False,False
9,0.18,9.676149704691351,4.788426207268853,-42.998830957506215,7.256620931785096,21.8495224378715,0.5874124705791474,0.587087282538414,0.0003251880407333374,0.0,0.0,0.6122086,1.1899451,0.7188757,1.4127519,-4.4952874183654785,-4.271783828735352,0.7810585410928217,1.4374526604923712,0.26002454977245043,1,0,0,0.11396395,0.2109079,0.013001228,0.11396395,0.2109079,0.013001228,8.193799018859863,False,False
