step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_roll_rad,r_hip_roll_rad,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_hip_roll_vel_rad_s,r_hip_roll_vel_rad_s,l_wheel_vel_rad_s,r_wheel_vel_rad_s,ctrl_l_hip_roll,ctrl_r_hip_roll,ctrl_l_wheel,ctrl_r_wheel,l_hip_roll_ctrl_sat,r_hip_roll_ctrl_sat,l_wheel_ctrl_sat,r_wheel_ctrl_sat,l_hip_roll_near_limit,r_hip_roll_near_limit,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,wheel_cmd_raw,wheel_cmd_clipped,wheel_cmd_norm,emergency_active,is_stable,should_update_slow,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_roll,action_r_hip_roll,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,0.658333295583725,-0.07092082500457764,0.0,0.0,-0.0307081937789917,0.05386784300208092,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.32999999999999996,0.53,0.0,-0.0,0.0,0.0,False,True,True,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.0,-0.27826086,-0.35625,0.0,8.95279312133789,False,False
1,0.02,2.3424912827010935,2.2597100302907736,-134.51140958953496,-101.5840238273873,-20.555802646801045,0.5874124705791474,0.6655552923679352,-0.07814282178878784,0.0,0.0,-0.03831002861261368,0.05561528727412224,0.19348897,0.41728604,0.2865284,0.53183115,-0.2624852657318115,0.10243145376443863,-1.2226061820983887,0.059286393225193024,0.0,0.0,1.5000003576278687,1.5000003576278687,False,False,False,False,False,False,0.32999999999999996,0.53,2.0,8.056323024131103,2.0,0.1,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.1,-0.27826086,-0.35625,0.1,8.226398468017578,False,False
2,0.04,3.5079832367278447,5.321837514463815,-164.99922936507252,-34.53586799092899,-20.13898010741726,0.5874124705791474,0.672114247083664,-0.0847017765045166,0.0,0.0,-0.04153233766555786,0.05641494691371918,0.098773204,0.32065362,0.1848025,0.44418207,-0.09632628411054611,0.024240924045443535,2.4402952194213867,4.434998989105225,0.0,0.0,3.0000007152557373,3.0000007152557373,False,False,False,False,False,False,0.32999999999999996,0.53,4.0,8.89849185774133,4.0,0.2,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.2,-0.27826086,-0.35625,0.2,6.629083156585693,False,False
3,0.06,3.8227954067536065,8.483654170894132,-157.49753697699913,-0.2925485814567234,-7.608973315593128,0.5874124705791474,0.6770756781101227,-0.08966320753097534,0.0,0.0,-0.04284210503101349,0.0586855448782444,-0.010951848,0.19175877,0.07672474,0.33309093,-0.049378637224435806,0.1656564325094223,9.4713716506958,10.673598289489746,0.0,0.0,4.2023420333862305,4.2023420333862305,False,False,False,False,False,False,0.32999999999999996,0.53,5.603121605430291,7.206243210860581,5.603121605430291,0.2801560802715145,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.28015608,-0.27826086,-0.35625,0.28015608,2.9543356895446777,False,False
4,0.08,3.7314518718884413,11.620567957610582,-160.07310569036255,5.2541964435658866,2.6993731491459023,0.5874124705791474,0.6798188924789429,-0.09240642189979553,0.0,0.0,-0.044614724814891815,0.06235929951071739,-0.12371866,0.05273459,-0.028614368,0.20196638,-0.11274122446775436,0.20200534164905548,19.01946258544922,18.99181365966797,0.0,0.0,4.370073318481445,4.370073318481445,False,False,False,False,False,False,0.32999999999999996,0.53,5.8267655788310275,6.0504095522317645,5.8267655788310275,0.2913382789415514,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.29133826,-0.27826086,-0.35625,0.29133826,-3.2268524169921875,False,False
5,0.1,3.466650773852336,14.766144985515547,-155.7314413029306,7.9753788136184625,15.852684648492005,0.5874124705791474,0.6795524001121521,-0.09213992953300476,0.0,0.0,-0.04570544883608818,0.06690364331007004,-0.23631859,-0.08894345,-0.13134906,0.05669078,-0.018137827515602112,0.20212768018245697,28.50980567932129,27.923389434814453,0.0,0.0,3.8108630180358887,3.8108630180358887,False,False,False,False,False,False,0.32999999999999996,0.53,5.081150976101911,4.335536373372796,5.081150976101911,0.25405754880509557,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.25405756,-0.27826086,-0.35625,0.25405756,-10.355253219604492,False,False
6,0.12,3.1333693454240366,17.99428192501304,-162.53611288620417,0.13428680180688687,23.494737424009152,0.5874124705791474,0.6756893932819367,-0.0882769227027893,0.0,0.0,-0.04608897119760513,0.07147479802370071,-0.34864855,-0.23072878,-0.23213896,-0.09537421,-0.013856440782546997,0.1293480545282364,36.218101501464844,35.006385803222656,0.0,0.0,3.2953906059265137,3.2953906059265137,False,False,False,False,False,False,0.32999999999999996,0.53,4.3938537151743144,3.7065564542467175,4.3938537151743144,0.21969268575871573,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.21969269,-0.27826086,-0.35625,0.21969269,-16.419151306152344,False,False
7,0.14,2.807457050779946,21.387388423533853,-172.57266606018771,-8.125976800854428,34.50690457375355,0.5874124705791474,0.6681163549423218,-0.08070388436317444,0.0,0.0,-0.04635446518659592,0.076065294444561,-0.46133348,-0.37163076,-0.33150634,-0.25115624,-0.012392980977892876,0.2373965084552765,42.33433532714844,39.96396255493164,0.0,0.0,2.983807325363159,2.983807325363159,False,False,False,False,False,False,0.32999999999999996,0.53,3.9784086535343985,3.5629635918944826,3.9784086535343985,0.19892043267671994,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.19892043,-0.27826086,-0.35625,0.19892043,-22.74496841430664,False,False
8,0.16,2.4590179384795077,24.14799037660751,-68.25854731965461,-67.9899637909222,88.95625397665184,0.5874124705791474,0.6569699585437775,-0.06955748796463013,0.0,0.0,-0.0443018414080143,0.07765708118677139,-0.53929335,-0.4965826,-0.41855907,-0.40738767,0.24700778722763062,-0.040221165865659714,47.43720626831055,45.1523323059082,0.0,0.0,1.4838069677352905,1.4838069677352905,False,False,False,False,False,False,0.32999999999999996,0.53,1.9784086535343985,-3.7520270635627675,1.9784086535343985,0.09892043267671993,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.098920435,-0.27826086,-0.35625,0.098920435,-24.212568283081055,False,False
9,0.18,2.008350744541253,25.945774713330323,-105.0585615487403,-91.19866655286955,118.37059341090598,0.5874124705791474,0.6427752017974854,-0.05536273121833801,0.0,0.0,-0.04110952094197273,0.07784686982631683,-0.5374099,-0.54122275,-0.48944578,-0.5399285,0.07567174732685089,0.041771501302719116,48.654151916503906,46.454315185546875,0.0,0.0,0.18032848834991455,0.18032848834991455,False,False,False,False,False,False,0.32999999999999996,0.53,0.2404388127092849,-1.4975310281158287,0.2404388127092849,0.012021940635464246,False,False,False,1,0,0,0.0,0.0,-0.27826086,-0.35625,0.01202194,-0.27826086,-0.35625,0.01202194,-19.237516403198242,False,False
