step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,0.658333295583725,-0.07092082500457764,0.0,0.0,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.32999999999999996,0.53,0.0,1,0,0,-0.27826086,-0.35625,0.0,-0.27826086,-0.35625,0.0,8.95279312133789,False,False
1,0.02,2.3424912827010935,2.2597100302907736,-134.51140958953496,-101.5840238273873,-20.555802646801045,0.5874124705791474,0.6655552923679352,-0.07814282178878784,0.0,0.0,0.19348897,0.41728604,0.2865284,0.53183115,-1.2226061820983887,0.059286393225193024,0.32999999999999996,0.53,2.0,1,0,0,-0.27826086,-0.35625,0.1,-0.27826086,-0.35625,0.1,8.112563133239746,False,False
2,0.04,3.5205697812642973,5.324911099590321,-164.96701819294674,-35.29426146051595,-21.815876926020017,0.5874124705791474,0.6721028625965119,-0.0846903920173645,0.0,0.0,0.09826578,0.3207753,0.18360573,0.44496313,2.4387550354003906,4.580439567565918,0.32999999999999996,0.53,4.0,1,0,0,-0.27826086,-0.35625,0.2,-0.27826086,-0.35625,0.2,6.468036651611328,False,False
3,0.06,3.843740181843451,8.46142873533491,-156.10402812215477,-0.08750003934283258,-8.907758545706795,0.5874124705791474,0.6770729064941406,-0.08966043591499329,0.0,0.0,-0.011321114,0.19186819,0.07522256,0.33441496,9.471190452575684,10.705766677856445,0.32999999999999996,0.53,5.554706424819148,1,0,0,-0.27826086,-0.35625,0.27773532,-0.27826086,-0.35625,0.27773532,2.9028754234313965,False,False
4,0.08,3.7432108963182644,11.567607524559948,-158.42528157196196,4.710585102619157,1.982941373611748,0.5874124705791474,0.6798560857772827,-0.09244361519813538,0.0,0.0,-0.12336765,0.052655604,-0.028501898,0.20239316,18.93441390991211,18.888261795043945,0.32999999999999996,0.53,5.757081886710524,1,0,0,-0.27826086,-0.35625,0.2878541,-0.27826086,-0.35625,0.2878541,-2.8199820518493652,False,False
5,0.1,3.4617520341135557,14.715997736629312,-158.00150931509768,8.728966391350664,19.79094098807009,0.5874124705791474,0.6796243727207184,-0.09221190214157104,0.0,0.0,-0.23524973,-0.089230426,-0.12912968,0.054920897,28.305267333984375,27.076984405517578,0.32999999999999996,0.53,5.157225448477725,1,0,0,-0.27826086,-0.35625,0.2578613,-0.27826086,-0.35625,0.2578613,-9.62628173828125,False,False
6,0.12,3.126036923906616,17.967751762729417,-166.8664664803706,0.5420305256798421,30.44579362157445,0.5874124705791474,0.6757256925106049,-0.08831322193145752,0.0,0.0,-0.34695604,-0.23127425,-0.22922064,-0.09726802,36.159271240234375,33.87025833129883,0.32999999999999996,0.53,4.6110887353775585,1,0,0,-0.27826086,-0.35625,0.23055443,-0.27826086,-0.35625,0.23055443,-16.651779174804688,False,False
7,0.14,2.774638418704858,21.448634729821357,-175.2772980281077,-9.128164481354874,34.72988975958696,0.5874124705791474,0.6681242525577545,-0.08071178197860718,0.0,0.0,-0.45948994,-0.37230167,-0.32719004,-0.25324434,42.66508865356445,40.473487854003906,0.32999999999999996,0.53,4.146005809151987,1,0,0,-0.27826086,-0.35625,0.20730029,-0.27826086,-0.35625,0.20730029,-23.494338989257812,False,False
8,0.16,2.3797036474032036,24.263695488694818,-71.37169290183306,-64.09269200145877,94.44644199377812,0.5874124705791474,0.6568202316761017,-0.06940776109695435,0.0,0.0,-0.53739685,-0.49790576,-0.41562685,-0.40633163,48.05080795288086,45.93899917602539,0.32999999999999996,0.53,2.146005809151987,1,0,0,-0.27826086,-0.35625,0.10730029,-0.27826086,-0.35625,0.10730029,-22.785829544067383,False,False
9,0.18,1.6798445788381449,26.17831191871799,-126.70182593405575,-91.28002776626275,161.84008928902318,0.5874124705791474,0.6425302267074585,-0.05511775612831116,0.0,0.0,-0.5363775,-0.54270965,-0.48387975,-0.54643226,49.542293548583984,43.0139274597168,0.32999999999999996,0.53,1.1277562840845876,1,0,0,-0.27826086,-0.35625,0.056387816,-0.27826086,-0.35625,0.056387816,-21.705141067504883,False,False
