step,time,pitch_deg,roll_deg,pitch_rate_deg_s,roll_rate_deg_s,yaw_rate_deg_s,height_cmd_m,current_height_m,height_error_m,com_y_m,com_y_dot_m_s,l_hip_pitch_rad,l_knee_rad,r_hip_pitch_rad,r_knee_rad,l_wheel_vel_rad_s,r_wheel_vel_rad_s,target_hip_pitch_rad,target_knee_rad,filtered_wheel_cmd,num_slow_updates,num_frozen_updates,num_emergency_activations,action_l_hip_pitch,action_l_knee,action_l_wheel,action_r_hip_pitch,action_r_knee,action_r_wheel,reward,terminated,truncated
0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5874124705791474,0.658333295583725,-0.07092082500457764,0.0,0.0,0.22837327,0.41211805,0.35831666,0.595029,0.0,0.0,0.32999999999999996,0.53,0.0,1,0,0,-0.27826086,-0.35625,0.0,-0.27826086,-0.35625,0.0,8.95279312133789,False,False
1,0.02,2.3424912827010935,2.2597100302907736,-134.51140958953496,-101.5840238273873,-20.555802646801045,0.5874124705791474,0.6655552923679352,-0.07814282178878784,0.0,0.0,0.19348897,0.41728604,0.2865284,0.53183115,-1.2226061820983887,0.059286393225193024,0.32999999999999996,0.53,2.0,1,0,0,-0.27826086,-0.35625,0.1,-0.27826086,-0.35625,0.1,7.7157063484191895,False,False
2,0.04,3.5497171866605037,5.332011935006196,-164.87314407299408,-37.06758688982094,-25.591837725634846,0.5874124705791474,0.672075891494751,-0.08466342091560364,0.0,0.0,0.097120665,0.3210669,0.18084744,0.44680718,2.4352052211761475,4.923067569732666,0.32999999999999996,0.53,4.0,1,0,0,-0.27826086,-0.35625,0.2,-0.27826086,-0.35625,0.2,6.0416765213012695,False,False
3,0.06,3.8886862416767194,8.409567962740649,-152.89564238218966,0.5158362699651672,-11.20957156958882,0.5874124705791474,0.677064859867096,-0.08965238928794861,0.0,0.0,-0.011910141,0.19211377,0.07220566,0.33725804,9.471189498901367,10.738343238830566,0.32999999999999996,0.53,5.445061025820349,1,0,0,-0.27826086,-0.35625,0.27225304,-0.27826086,-0.35625,0.27225304,2.791410446166992,False,False
4,0.08,3.763639138352126,11.451070836941192,-156.85503474215437,6.637610705703772,4.073386082778089,0.5874124705791474,0.6799361050128937,-0.09252363443374634,0.0,0.0,-0.1223834,0.05249465,-0.027822532,0.20307535,18.74209213256836,18.308603286743164,0.32999999999999996,0.53,5.6771159664917334,1,0,0,-0.27826086,-0.35625,0.2838558,-0.27826086,-0.35625,0.2838558,-2.6119935512542725,False,False
5,0.1,3.45225700395018,14.60224776619192,-159.34037665658192,8.6127157179034,21.057037786589724,0.5874124705791474,0.6797452807426453,-0.09233281016349792,0.0,0.0,-0.23251456,-0.089916825,-0.12458053,0.05303171,27.980321884155273,26.64023780822754,0.32999999999999996,0.53,5.191321215783978,1,0,0,-0.27826086,-0.35625,0.25956607,-0.27826086,-0.35625,0.25956607,-9.866480827331543,False,False
6,0.12,3.0618290902836764,17.955833082627745,-172.7727223009774,-0.31115860578918675,32.79145133728608,0.5874124705791474,0.6758661210536957,-0.08845365047454834,0.0,0.0,-0.34220293,-0.2326111,-0.22077294,-0.103216186,35.91050720214844,33.59367370605469,0.32999999999999996,0.53,4.846327149608067,1,0,0,-0.27826086,-0.35625,0.24231635,-0.27826086,-0.35625,0.24231635,-17.994897842407227,False,False
7,0.14,2.6948231759416164,21.568154502560116,-181.877268841956,-10.118183326075298,36.73569433767168,0.5874124705791474,0.6681002616882324,-0.08068779110908508,0.0,0.0,-0.4518035,-0.37491536,-0.31684184,-0.25681803,42.84673309326172,40.63203048706055,0.32999999999999996,0.53,4.472052912845632,1,0,0,-0.27826086,-0.35625,0.22360265,-0.27826086,-0.35625,0.22360265,-24.91381072998047,False,False
8,0.16,2.0856862017489575,24.843354860533584,-103.20134432095462,-51.807886439517155,114.65812604981559,0.5874124705791474,0.6566623389720917,-0.06924986839294434,0.0,0.0,-0.53495747,-0.5060962,-0.40222633,-0.42067543,48.80097961425781,45.04265213012695,0.32999999999999996,0.53,2.4720529128456317,1,0,0,-0.27826086,-0.35625,0.12360264,-0.27826086,-0.35625,0.12360264,-27.811452865600586,False,False
9,0.18,0.8216528140497578,27.44537689655247,-146.6449947632525,-71.52557706383345,162.22644576961414,0.5874124705791474,0.6421883493661881,-0.05477587878704071,0.0,0.0,-0.53679585,-0.5433633,-0.46459454,-0.54907113,50.823448181152344,47.211063385009766,0.32999999999999996,0.53,1.8481621487504705,1,0,0,-0.27826086,-0.35625,0.092408106,-0.27826086,-0.35625,0.092408106,-23.10137939453125,False,False
10,0.2,-0.30328940077211225,32.65486462935875,-348.3237469902625,-62.14695552202973,87.36712167378916,0.5874124705791474,0.6283717393875122,-0.04095926880836487,0.0,0.0,-0.5210179,-0.53792995,-0.49447668,-0.55758643,47.02653503417969,43.258750915527344,0.32999999999999996,0.53,3.8481621487504705,2,1,0,-0.27826086,-0.35625,0.19240811,-0.27826086,-0.35625,0.19240811,-29.18281364440918,False,False
11,0.22,-0.6565409416317802,39.623788601792796,-345.7389028800062,-25.17233092190725,43.3124732441932,0.5874124705791474,0.6123713195323944,-0.02495884895324707,0.0,0.0,-0.5110925,-0.5268468,-0.51227283,-0.5398599,51.6336669921875,48.07359313964844,0.32999999999999996,0.53,5.84816214875047,2,1,0,-0.27826086,-0.35625,0.2924081,-0.27826086,-0.35625,0.2924081,-41.57457733154297,True,False
