config_id,parent_idx,stage,slow_loop_rate_hz,posture_blend_alpha,pitch_gate_deg,wheel_lqr_gain_multiplier,com_gain_multiplier,mean_survival,mean_fall_rate,mean_pitch_rms,success
0,0,1,5,0.85,8,0.75,0.3,0.35,1.0,4.088324953744953,True
1,0,1,5,0.85,8,0.75,0.4,0.35,1.0,3.86557861102262,True
2,0,1,5,0.85,8,0.75,0.5,0.35,1.0,3.728731755077567,True
3,0,1,5,0.85,8,0.75,0.6,0.35,1.0,3.3984048058140095,True
4,0,1,5,0.85,8,0.75,0.7,0.35,1.0,3.0408233717124773,True
5,0,1,5,0.85,8,1.0,0.3,0.33,1.0,4.1073331122409105,True
6,0,1,5,0.85,8,1.0,0.4,0.33,1.0,4.2995714653820984,True
7,0,1,5,0.85,8,1.0,0.5,0.34,1.0,4.783449264451614,True
8,0,1,5,0.85,8,1.0,0.6,0.34,1.0,5.033351702477042,True
9,0,1,5,0.85,8,1.0,0.7,0.35,1.0,4.304554780751472,True
10,0,1,5,0.85,8,1.25,0.3,0.33,1.0,4.364100873244932,True
11,0,1,5,0.85,8,1.25,0.4,0.33,1.0,4.389010525320605,True
12,0,1,5,0.85,8,1.25,0.5,0.33,1.0,4.547458034599639,True
13,0,1,5,0.85,8,1.25,0.6,0.33,1.0,4.88676440945069,True
14,0,1,5,0.85,8,1.25,0.7,0.33,1.0,4.229304441827867,True
15,0,1,5,0.85,10,0.75,0.3,0.35,1.0,4.088324953744953,True
16,0,1,5,0.85,10,0.75,0.4,0.35,1.0,3.86557861102262,True
17,0,1,5,0.85,10,0.75,0.5,0.35,1.0,3.728731755077567,True
18,0,1,5,0.85,10,0.75,0.6,0.35,1.0,3.3984048058140095,True
19,0,1,5,0.85,10,0.75,0.7,0.35,1.0,3.0408233717124773,True
20,0,1,5,0.85,10,1.0,0.3,0.33,1.0,4.1073331122409105,True
21,0,1,5,0.85,10,1.0,0.4,0.33,1.0,4.2995714653820984,True
0,0,1,5,0.85,8,0.75,0.3,0.36,1.0,1.8898151119911082,True
0,0,1,5,0.85,8,0.75,0.3,0.36,1.0,1.8898151119911082,True
