course: diag_off
 h(cm)  verdict  top?  t_edge  pk_pitch settle_s pitch_tl  herr_mm  still  seed
    12     PASS     T     5.6      15.1     5.48      2.6      7.1  0.000     0
    12     PASS     T     5.5      16.1     5.24      2.6      7.0  0.000     1
    12     PASS     T     5.5      15.3     5.72      2.6      7.0  0.000     2
    12     PASS     T     5.5      15.0     5.38      2.5      6.3  0.000     3
    12     PASS     T     5.5      15.3     5.21      2.7      7.8  0.000     4
    12     PASS     T     5.5      15.3     5.21      2.6      6.8  0.000     5
    12     PASS     T     5.6      14.9     5.50      2.6      7.4  0.000     6
    12     PASS     T     5.5      16.2     5.83      2.6      6.7  0.000     7
    15     PASS     T     5.8      18.5     4.94      2.7      7.5  0.001     0
    15     PASS     T     5.7      17.5     3.96      2.7      7.9  0.000     1
    15     PASS     T     5.8      17.1     4.69      2.7      8.2  0.000     2
    15     PASS     T     5.8      16.6     4.75      2.7      7.8  0.000     3
    15     PASS     T     5.7      17.2     4.50      2.6      7.8  0.000     4
    15     PASS     T     5.7      16.7     4.99      2.7      7.8  0.000     5
    15     PASS     T     5.8      16.0     4.93      2.7      8.0  0.000     6
    15     PASS     T     5.7      16.6     4.21      2.7      8.1  0.000     7
    17     PASS     T     5.9      17.9     4.90      2.6      7.3  0.000     0
    17     PASS     T     5.8      18.9     3.93      2.7      8.0  0.000     1
    17     PASS     T     5.9      18.7     4.41      2.7      8.1  0.000     2
    17     FAIL     T     5.9      72.5    never     54.7    228.2  0.132     3
    17     PASS     T     5.9      18.9     4.85      2.7      7.5  0.000     4
    17     PASS     T     5.9      19.8     3.92      2.7      7.8  0.000     5
    17     FAIL     T     5.9      67.8    never     54.8    228.2  0.132     6
    17     PASS     T     5.9      18.0     5.95      2.7      8.2  0.000     7
    20     FAIL     T     6.1      63.8    never     49.8    196.9  0.120     0
    20     FAIL     T     6.0       0.0    never     58.3    219.6  0.142     1
    20     PASS     T     6.1      20.2     4.72      2.6      7.5  0.000     2
    20     FALL     T       —         —        —        —        — fall@7.4s     3
    20     PASS     T     6.1      20.3     4.84      2.6      6.6  0.000     4
    20     FAIL     T     6.1      74.1     1.64     49.8    196.9  0.121     5
    20     FALL     T       —         —        —        —        — fall@29.1s     6
    20     FAIL     T     6.1      62.7    never     49.8    196.9  0.118     7
    22     FAIL     T     6.2       0.0    never     46.8    176.3  0.113     0
    22     FALL     T       —         —        —        —        — fall@7.1s     1
    22     FALL     T       —         —        —        —        — fall@7.3s     2
    22     FAIL     T     6.2      71.8    never     46.9    176.3  0.114     3
    22     FALL     T       —         —        —        —        — fall@26.0s     4
    22     FALL     T       —         —        —        —        — fall@19.9s     5
    22     FAIL     T     6.2      53.7    never     46.8    176.3  0.115     6
    22     FALL     T       —         —        —        —        — fall@7.4s     7
    25     FAIL     T     6.4       0.0    never     43.6    145.6  0.120     0
    25     FAIL     T     6.4       0.0    never     43.4    145.6  0.112     1
    25     FAIL     T     6.4       0.0    never     43.4    145.5  0.116     2
    25     FAIL     T     6.4       0.0    never     43.2    145.6  0.111     3
    25     FAIL     T     6.4      49.0    never     43.4    145.5  0.111     4
    25     FALL     T       —         —        —        —        — fall@7.4s     5
    25     FALL     T       —         —        —        —        — fall@7.3s     6
    25     FAIL     T     6.4       0.0    never     43.4    145.6  0.112     7
    27     FAIL     T     6.6      69.7    never     41.0    125.5  0.104     0
    27     FAIL     T     6.5      46.4    never     41.0    125.5  0.104     1
    27     FAIL     T     6.6       0.0    never     41.1    125.6  0.107     2
    27     FAIL     T     6.5      55.3    never     40.9    125.6  0.105     3
