step,time_s,torso_x,torso_y,torso_z,quat_w,quat_x,quat_y,quat_z,roll_rad,pitch_rad,yaw_rad,body_vx,body_vy,body_vz,body_wx,body_wy,body_wz,l_hip_roll_pos,l_hip_yaw_pos,l_hip_pitch_pos,l_knee_pos,l_wheel_pos,r_hip_roll_pos,r_hip_yaw_pos,r_hip_pitch_pos,r_knee_pos,r_wheel_pos,l_hip_roll_vel,l_hip_yaw_vel,l_hip_pitch_vel,l_knee_vel,l_wheel_vel,r_hip_roll_vel,r_hip_yaw_vel,r_hip_pitch_vel,r_knee_vel,r_wheel_vel,l_hip_roll_torque,l_hip_yaw_torque,l_hip_pitch_torque,l_knee_torque,l_wheel_torque,r_hip_roll_torque,r_hip_yaw_torque,r_hip_pitch_torque,r_knee_torque,r_wheel_torque,l_hip_roll_ctrl,l_hip_yaw_ctrl,l_hip_pitch_ctrl,l_knee_ctrl,l_wheel_ctrl,r_hip_roll_ctrl,r_hip_yaw_ctrl,r_hip_pitch_ctrl,r_knee_ctrl,r_wheel_ctrl
0,0.0,-0.001124329590954694,-0.0007370426073517285,0.7077127354231947,0.9992509374793288,0.03814370603127939,0.004148514465642062,-0.005040978537075474,0.07626521989232475,0.008675485969703781,-0.009758447725238172,-0.12459915355922949,-0.3203114883301713,0.2360495033119413,9.59749511813507,0.39131462467471817,-0.9845549079207383,0.0807216519873809,-0.0052399183970314855,0.4144740165058437,0.5839758724918689,-0.3085316681291994,-0.09263797914387889,-0.021075736429062932,0.40654036833414514,0.5363847975986945,-0.3236385260805633,7.076350913669092,0.5913534972248851,7.878867357707316,-1.863009898123908,-25.17354518374583,-7.926122395650452,-2.4390070947642313,7.396669121589426,-7.0402733298861975,-27.923897706580547,15.0,-1.8607416152954102,30.0,-30.0,-15.0,-15.0,-15.0,30.0,-30.0,-15.0,15.0,-1.8607416152954102,30.0,-30.0,-15.0,-15.0,-15.0,30.0,-30.0,-15.0
1,0.02,-0.003991044073595082,-0.003935898482910725,0.717044625905277,0.9981979880301779,0.05953964023992611,-0.0012535533045745886,-0.007364545927451385,0.11916514959639048,-0.0016256246589223715,-0.014852387755257929,-0.15659248330625383,-0.05342229809968239,0.5873852243767131,-2.5768816975550255,-0.9541317137963392,0.4271177620682889,0.06002667037422845,0.0005392035555907919,0.3511163531211327,0.42981215380382604,-0.4635962654189468,-0.08618468858102121,0.00023699161886213578,0.40153826034121753,0.5768614993248288,-0.4674657909583875,-5.710258948053607,-0.22334683332286187,-9.570433505411982,-11.387927928019876,6.0084701926941655,4.976125561384093,3.198407511717169,-5.264691701186017,7.3468250945516385,9.174706800675203,-15.0,-15.0,-30.0,-21.497047424316406,15.0,15.0,15.0,-30.0,30.0,15.0,-15.0,-15.0,-30.0,-21.497047424316406,15.0,15.0,15.0,-30.0,30.0,15.0
2,0.04,-0.00644044275007075,-0.003307013409326245,0.7273944746752922,0.999961307612846,0.006478281157865062,-0.0027046213988850196,-0.005300959680674336,0.0129852852570561,-0.00534037667103635,-0.010636904002525762,-0.10427536720339724,0.09356004008786904,0.4203017255317032,-7.176340711687391,0.2299744213703795,-0.04033301509492604,-0.06270151252244266,0.009763067252508483,0.16488393669283474,0.4333851695164574,0.044777615116160574,0.014838963031637807,0.013797737734088447,0.13153394839429897,0.48714149599537754,0.10938928791908675,-6.49146739468919,1.6077777195438976,-9.764191357636514,6.800400764859351,41.08502715218823,5.279621683334414,-1.2652249174111734,-18.142050224141574,-11.03885813003249,44.640759654725855,-10.316543579101562,15.0,-30.0,30.0,15.0,7.763641357421875,-15.0,-30.0,-30.0,15.0,-10.316543579101562,15.0,-30.0,30.0,15.0,7.763641357421875,-15.0,-30.0,-30.0,15.0
3,0.06,-0.009632184326610328,-0.005731954880834749,0.731134299237667,0.9996282755372734,0.022480931712241845,-0.003913744414113872,-0.014919821057512965,0.04507835324656451,-0.007153817220891007,-0.030009791225106844,-0.20212299454841395,-0.2645282504470545,0.02306777945321923,7.239270950413735,-0.3091618585607042,-1.581539827420632,-0.04119396044216839,0.02377121471084606,0.14411669374718963,0.3924377853497853,0.45355231257993583,-0.030277995732236926,0.02389751725802272,0.024315876754986164,0.2447108821180343,0.5856504610054932,5.287678856573712,-0.18083091221566852,4.583354711081196,-7.515765066380049,3.779607087720147,-6.497841867171751,1.6517213358558,2.5784789993870145,-13.33885511927209,7.032037840143234,15.0,-15.0,30.0,-30.0,-15.0,-15.0,15.0,30.0,-30.0,-15.0,15.0,-15.0,30.0,-30.0,-15.0,-15.0,15.0,30.0,-30.0,-15.0
4,0.08,-0.013423440207342666,-0.007823601452631355,0.7304155702509606,0.9991211605790401,0.03082971705492165,-0.0001030794903201569,-0.028397612648332255,0.06165021874392769,0.0015450035406286433,-0.056782243156020144,-0.17631156099587253,0.002718374415989388,-0.09101062436898771,-3.3136195802832913,0.8914680922932732,-1.037177203900876,-0.07028658451275704,0.01764202885932936,0.05018497248265812,0.21711033417375805,0.9216302550423582,-0.003673572532555942,0.01230611049224126,-0.022696891020649645,0.21992972206411496,1.113143846887457,-5.332385190259401,-0.3880732117223773,-10.34150556521299,-9.00890650605003,39.20409116660882,5.647034354408651,-2.1927710705519683,-5.867251305082736,5.853669023519553,41.99420917236918,-15.0,3.0124855041503906,-30.0,-9.935659408569336,15.0,15.0,-15.0,-30.0,30.0,15.0,-15.0,3.0124855041503906,-30.0,-9.935659408569336,15.0,15.0,-15.0,-30.0,30.0,15.0
5,0.1,-0.018861680210211937,-0.009116493069811372,0.7281710488332843,0.997840540264616,0.03514782136531144,0.003301644380794294,-0.05538940333740638,0.06983868254277122,0.010482854926320832,-0.1105385241188508,-0.4633561555738904,-0.054169583026996405,0.15054566789877585,2.0878719880267016,-1.3578577166559407,-4.581198191544007,-0.054446446489559694,0.007364556952360796,-0.09025887576720533,-0.06521214595853686,1.9455393583940948,-0.03716325091464927,0.016980207434383547,-0.07284605342703332,0.15871909774209733,1.5394234925558081,3.1856604672335833,0.7211645687434454,-4.3590779743025925,-19.292635430641432,54.50935294312096,-5.6396428434912975,3.1163841007274096,-0.45664929098557927,-8.149778721099603,4.632361955746786,15.0,-11.892724990844727,-7.776374816894531,-26.691308975219727,12.167060852050781,-15.0,15.0,20.16606903076172,-30.0,-15.0,15.0,-11.892724990844727,-7.776374816894531,-26.691308975219727,12.167060852050781,-15.0,15.0,20.16606903076172,-30.0,-15.0
6,0.12,-0.027351978816066918,-0.00674793916719023,0.7303627621065281,0.9951778379090985,-0.001691899901193764,-0.0036134225536826343,-0.09800587526645999,-0.0026592876908680873,-0.0075236993311624065,-0.19631846558427687,-0.3891810522057752,0.23820131504392686,0.05392782377260555,-7.380336743259929,-0.8264809909520486,-4.155813874424975,-0.11564208631520471,0.04447008208714575,-0.2109571948418809,-0.14314779805631098,2.5971718105445962,0.002169507112322666,0.0377490309578161,-0.21816121256996407,0.06028692002876194,2.022960864630227,-6.467846834412681,3.1550896846519554,-7.684634313372844,4.946080497958493,15.372540096204858,6.269598266158159,-0.6606334130173634,-11.706174178384787,-2.708379590418458,39.92762050227315,-15.0,15.0,-28.70464515686035,30.0,-15.0,15.0,-15.0,-30.0,3.6470947265625,15.0,-15.0,15.0,-28.70464515686035,30.0,-15.0,15.0,-15.0,-30.0,3.6470947265625,15.0
7,0.14,-0.03608986250251168,-0.005246623229660469,0.7279455567159823,0.9894273398477107,-0.0008156574328471606,-0.0111325954852523,-0.14459923645233258,0.001605860886199032,-0.022267515707388393,-0.29025197078895604,-0.4803390653179858,-0.03252380473653784,-0.24798154353574628,4.919386558620874,-0.6423891047960134,-5.053322442981668,-0.09249867483339659,0.05656037972250718,-0.19743871271545135,-0.14335339468272335,3.2945139963410086,-0.037962645321826693,0.07535192241520533,-0.23343430678326926,-0.013459377571397526,2.407002610481562,5.4035239123540935,-1.174870182292734,5.898901052612983,-3.1469929921528133,50.534507177471966,-6.581195909049281,3.2887502509333535,6.084310495699421,-4.812598824784263,2.506702869499845,15.0,-15.0,30.0,-16.701431274414062,15.0,-15.0,14.866327285766602,29.604598999023438,-15.222131729125977,-15.0,15.0,-15.0,30.0,-16.701431274414062,15.0,-15.0,14.866327285766602,29.604598999023438,-15.222131729125977,-15.0
8,0.16,-0.04441375937929522,-0.0026357837234873274,0.7228040370006675,0.9833578289158287,-0.011648036449591358,-0.018892394254395792,-0.1803185542204521,-0.01610955600169992,-0.0413684801012825,-0.36237767921469444,-0.4141581287042614,0.26658019552510964,-0.18030102354766445,-5.043936351049612,-1.7095376823766457,-2.672202204291536,-0.12684790484832198,0.07567534019957609,-0.1433451346224678,-0.020753206739892366,3.8675178812824855,0.003991004872686686,0.08918202599749722,-0.2439782307267218,0.05898466434812613,2.8472541661776303,-5.780445791425297,2.6478912520693783,0.3926533590301958,11.023493345132348,10.040796112209328,6.971965278701634,-0.46279974666719115,-5.226335480985636,8.768366239466589,37.75209643426178,-15.0,15.0,-7.433572769165039,30.0,-15.0,15.0,-15.0,-29.473920822143555,30.0,15.0,-15.0,15.0,-7.433572769165039,30.0,-15.0,15.0,-15.0,-29.473920822143555,30.0,15.0
9,0.18,-0.05663198985026174,-0.0002002684501879109,0.7217305497338773,0.9768583600648822,0.001907314416437326,-0.034032829224442895,-0.21115367166603025,0.018138830768500085,-0.06573235982017331,-0.42635778658269496,-0.7739706559981805,0.052024329733953,0.07700784103738871,5.811299065156313,-0.9660718461036745,-3.6151615722636947,-0.10265262014553672,0.08336195836469253,-0.05070217883907652,0.006346126105831611,4.447543718628379,-0.0017223648950395474,0.08201989693390556,-0.22016699844320464,0.029353656729263267,3.191405754049135,4.982805716913411,-0.8434906482134801,7.7910713037459844,-4.481932861231734,43.67363402856958,-4.314612739986044,-0.5337824553747013,5.570059580457115,-7.537767959262986,0.625055236445037,15.0,-15.0,30.0,-24.011882781982422,15.0,-15.0,-15.0,30.0,-30.0,-15.0,15.0,-15.0,30.0,-24.011882781982422,15.0,-15.0,-15.0,30.0,-30.0,-15.0
